SNName,TNSName,DiscDate,RA,Dec,Redshift,PeakMag,PeakMagV,PeakMagg,Offset,Type,HostName,DiscoveredBy,Recovered
2018bja,2018bja,2018/05/10.504,'16:25:55.410,+40:46:38.29,0.0301,17.7,---,---,7.3,Ib,WISE J162555.25+404647.9,ATLAS,Yes
2018bl,2018bl,2018/01/06.440,'08:24:11.590,-77:47:16.55,0.018,16.8,---,16.893,22.55601435,II,ESO 018- G 009,Gaia,Yes
2018blb,2018blb,2018/05/12.469,'14:54:23.710,+73:10:41.97,0.023,17.8,---,---,2.5,IIP,2MASX J14542432+7310428,ATLAS,No
2018bpd,2018bpd,2018/05/13.593,'14:17:15.060,+59:16:34.57,0.037,17.4,---,16.64,8.1,Ia,WISEA J141715.78+591640.1,ATLAS,Yes
2018bqi,2018bqi,2018/05/14.241,'07:33:15.920,-11:14:02.51,0.032,17.9,---,---,15.7,Ia,WISEA J073316.79-111355.2,ATLAS,No
2018bsn,2018bsn,2018/05/14.750,'14:57:28.680,+05:50:33.10,0.059,17.7,---,---,9,Ia,WISEA J145728.23+055038.5,TNTS,No
2018bsq,2018bsq,2018/05/08.550,'16:35:42.760,+04:49:33.28,0.06,18,---,---,2.94,Ia,WISEA J163542.95+044933.4,ATLAS,No
2018bta,2018bta,2018/05/17.504,'16:57:58.750,-62:43:53.70,0.0195,16.4,---,---,20.21865275,Ia,ESO 101- G 020,Stu Parker,No
2018btb,2018btb,2018/05/14.426,'11:34:27.900,+46:21:45.11,0.034,17.8,16.85,---,9.3,Ia,CGCG 242-050,ATLAS,Yes
2018btl,2018btl,2018/05/15.583,'18:37:13.050,+36:56:05.87,0.02,17.9,---,17.36,8,IIP,2MASX J18371244+3656083,ATLAS,No
2018bwb,2018bwb,2018/05/17.273,'15:58:41.040,+21:07:13.58,0.04981,17.6,---,---,11.6,Ia,WISEA J155840.70+210703.1,ZTF,No
2018bwd,2018bwd,2018/05/20.111,'14:50:50.464,-77:52:56.17,0.014,17.5,---,---,2.3,II,WISEA J145050.01-775257.9,Gaia,No
2018bwr,2018bwr,2018/05/21.457,'15:28:26.170,+08:48:22.24,0.046,16.5,16.825,16.349,0.6,IIn,SDSS J152826.15+084822.8,ATLAS,Yes
2018cbv,2018cbv,2018/05/29.500,'12:58:16.640,+27:43:45.40,0.0682,18,---,---,2.8,Ia,WISEA J125816.82+274346.9,TNTS,No
2018cbz,2018cbz,2018/05/31.371,'13:41:18.610,-04:20:46.54,0.0223,16.9,---,16.981,8.948280002,Ic,IC 0908,ATLAS,Yes
2018ccb,2018ccb,2018/05/31.317,'18:30:57.300,+29:52:47.28,0.015811,17.6,---,17.381,11.1,II,CGCG 172-040,ZTF,No
2018ccl,2018ccl,2018/05/28.296,'16:28:11.130,+39:49:12.47,0.026922,17.6,---,16.95,8.1,Ia,UGC 10404,ZTF,Yes
