SNName,TNSName,DiscDate,RA,Dec,Redshift,PeakMag,PeakMagV,PeakMagg,Offset,Type,HostName,DiscoveredBy,Recovered
2019arb,2019arb,2019/02/08.463,'12:19:31.228,+49:48:50.97,0.014,16.6,---,16.75,10.11464884,Ia,UGC 07367,ZTF,No
2019ata,2019ata,2019/02/09.498,'10:14:10.792,-35:09:39.02,0.03,17.5,---,16.92,19.6,Ia,2MASX J10141233-3509367,ATLAS,Yes
2019aux,2019aux,2019/02/08.176,'07:24:24.651,+42:03:59.65,0.06,18,---,---,29.9,Ia,WISEA J072424.96+420330.0,ZTF,No
2019ava,2019ava,2019/02/08.221,'07:32:58.888,+58:16:44.04,0.039807,16.8,---,---,7.564003038,Ia,KUG 0728+583,ZTF,No
2019avh,2019avh,2019/02/08.419,'10:01:58.870,+43:21:34.47,0.0627,17.3,---,---,4.5,Ia,WISEA J100158.70+432138.8,ZTF,No
2019avi,2019avi,2019/02/08.419,'10:01:32.031,+39:15:34.50,0.063034,17.9,---,---,1.7,Ia,WISEA J100132.01+391536.2,ZTF,No
2019avp,2019avp,2019/02/08.487,'13:21:19.471,+52:46:42.80,0.058,17.9,---,---,2.4,Ia,SDSS J132119.33+524644.8,ZTF,No
2019avx,2019avx,2019/02/12.461,'13:16:16.243,+62:32:51.51,0.045,17.8,---,---,5.8,Ia,MSPM 00829,ZTF,Yes
2019axz,2019axz,2019/02/17.610,'14:30:16.704,-43:33:41.09,0.015,17.7,---,17.34,14.4,II,ESO 272- G 011,ATLAS,No
2019aya,2019aya,2019/02/09.000,'04:19:58.088,-07:15:24.34,0.032419,17.4,---,16.665,18.9,Ia-91T,WISEA J041958.36-071542.2,ATLAS,Yes
2019ayb,2019ayb,2019/02/01.615,'18:01:04.184,+30:27:42.07,0.026,16.9,---,---,2.6,Ia,WISEA J180104.03+302740.4,ATLAS,No
2019bak,2019bak,2019/02/20.367,'10:13:31.917,+29:33:06.62,0.048,17.9,---,17.334,2.6,Ia,WISEA J101331.71+293304.9,ZTF,Yes
2019bao,2019bao,2019/02/24.248,'10:29:18.522,+06:07:21.83,0.011885,17.2,---,17.35,49.17280954,IIb,UGC 05687,ATLAS,Yes
2019baw,2019baw,2019/02/20.154,'01:45:15.369,+32:03:41.82,0.035938,17.1,---,16.512,0.828694202,Ia,UGC 01227,ZTF,Yes
2019bco,2019bco,2019/02/25.246,'03:51:20.688,-18:18:49.61,0.027429,17.8,---,---,15.7,Ia,ESO 549- G 029,ATLAS,Yes
2019bcs,2019bcs,2019/02/25.290,'05:01:33.545,-14:15:58.51,0.026,17.7,---,17.24,1.38,II,WISEA J050133.51-141557.1,ATLAS,Yes
2019bfk,2019bfk,2019/02/27.447,'16:58:45.910,+66:53:07.19,0.055,17.5,---,---,0.1,Ia,WISEA J165845.90+665307.2,ZTF,No
2019bgg,2019bgg,2019/02/12.533,'17:49:22.518,+44:31:05.74,0.04,17.6,---,---,1.9,Ia,WISEA J174922.51+443103.9,ZTF,No
2019bic,2019bic,2019/02/27.016,'09:31:37.720,+41:19:21.31,0.035187,16.5,---,---,22.07571151,Ia,UGC 05072,MASTER,No
2019bip,2019bip,2019/03/01.266,'10:32:32.966,-19:04:31.33,0.03,17.1,---,17.012,10.2,II,WISEA J103232.63-190421.4,ZTF,Yes
2019bjm,2019bjm,2019/03/01.251,'04:07:46.216,-29:51:34.10,0.014,15.9,---,15.85,7.920318082,Ia,ESO 420- G 003,ATLAS,Yes
2019bkc,2019bkc,2019/03/02.433,'10:00:22.544,-03:01:12.64,0.04,18,---,---,16.1,Ic,WISEA J100023.63-030109.7,ATLAS,Yes
2019blp,2019blp,2019/03/01.479,'16:34:25.447,+11:36:49.42,0.050085,17.7,---,---,1.6,Ia,WISEA J163425.34+113648.9,ZTF,No
2019buj,2019buj,2019/03/14.424,'14:10:43.498,+54:36:50.44,0.04,17.9,---,17.573,0.8,Ia,WISEA J141043.40+543649.9,ZTF,Yes
2019bum,2019bum,2019/03/14.426,'14:49:47.784,+54:48:46.89,0.045,18,---,17.18,2.6,Ia,WISEA J144948.08+544847.0,ZTF,Yes
2019bvt,2019bvt,2019/03/17.509,'18:28:48.500,+50:22:23.20,0.0169,15.5,---,15.55,4.792018013,Ia,ARK 539,Tim Puckett et al.,Yes
2019bvu,2019bvu,2019/03/17.580,'15:39:52.160,-44:35:44.77,0.011,18,---,---,7.9,Ia,ESO 274- G 021,ATLAS,No
2019bwa,2019bwa,2019/03/17.524,'14:11:17.588,-25:02:09.45,0.022,17.6,---,17.71,4.7,Ib-pec,ESO 511- G 007,ATLAS,No
2019bwb,2019bwb,2019/03/17.417,'10:48:26.366,-45:41:31.95,0.02,16.7,---,16.836,9.614912014,IIn,ESO 264- G 041,ATLAS,Yes
2019bwm,2019bwm,2019/03/17.161,'06:51:18.443,+49:53:00.91,0.01895,16.4,---,16.21,17.72338376,Ia,UGC 03561,ZTF,Yes
2019bxh,2019bxh,2019/03/14.426,'14:51:53.099,+55:24:27.31,0.0382,17.9,---,17.59,0.7,Ia,2MASX J14515326+5524271,ZTF,Yes
2019byv,2019byv,2019/03/15.541,'17:08:36.486,+21:46:51.91,0.0575,18,---,---,1.5,Ia,WISEA J170836.48+214653.5,ZTF,No
2019bzd,2019bzd,2019/03/15.255,'14:47:32.070,-19:45:57.80,0.008,15.5,---,---,23.53342184,IIP,ESO 580- G 029,MASTER,No
2019cbc,2019cbc,2019/03/15.526,'18:06:09.172,+65:20:46.91,0.02,16,---,16,8.8,IIn,WISEA J180610.49+652046.2,ATLAS,Yes
2019cda,2019cda,2019/03/24.947,'10:44:49.850,+06:36:04.03,0.02765,17.6,---,17.54,32.4,Ic,NGC 3362,Italian Supernovae Search Project,No
2019cdc,2019cdc,2019/03/25.506,'14:08:49.135,+35:36:51.40,0.02777,18,---,17.37,12.5,Ia-91bg,UGC 09045,ATLAS,Yes
2019cex,2019cex,2019/03/26.213,'10:04:15.553,-08:02:11.71,0.05,18,---,17.65,2.16,Ia,WISEA J100415.44-080210.2,ZTF,No
2019cmv,2019cmv,2019/02/24.925,'18:57:52.996,+45:35:24.00,0.097,17.9,---,---,10.4,SLSN-II,WISEA J185753.28+453533.8,ZTF,No
2019cnb,2019cnb,2019/03/25.531,'16:23:55.458,+53:24:12.51,0.06,17.9,---,---,1.8,Ia,WISEA J162355.21+532412.7,ZTF,No
2019cpe,2019cpe,2019/03/26.210,'09:50:12.989,-14:01:39.58,0.054,17.8,---,17.5,10.2,Ia,WISEA J095013.13-140129.3,ZTF,Yes
2019cth,2019cth,2019/04/03.267,'14:45:47.500,+50:23:49.00,0.013344,15.5,---,15.45,18.07261714,Ia,IC 1056,Tim Puckett et al.,Yes
2019cvz,2019cvz,2019/04/05.608,'16:30:54.005,+46:35:18.19,0.018,17.9,---,17.62,6.7,IIP,WISEA J163054.20+463524.5,ATLAS,Yes
2019cww,2019cww,2019/04/07.313,'12:26:22.926,+71:33:49.20,0.0234,17.1,---,17,0.6,Ia,WISEA J122622.95+713350.6,ZTF,Yes
2019cxx,2019cxx,2019/04/05.506,'11:17:48.220,+13:43:42.00,0.025,16.4,---,16.26,5.6,Ia,IC 2695,"Masaomi Tanaka, Nozomu Tominaga, Tomoki Morokuma, and Tomo-e Goze",Yes
2019daj,2019daj,2019/03/27.500,'14:05:18.211,-39:53:10.02,0.038,16.9,---,16.67,13.9,Ia,WISEA J140517.31-395319.2,ATLAS,No
2019ddp,2019ddp,2019/04/01.490,'22:03:07.497,+36:38:32.50,0.05,17.6,---,---,13.8,Ia,WISEA J220306.42+363838.4,ZTF,No
2019dfa,2019dfa,2019/04/10.344,'09:58:59.807,+17:49:07.66,0.02544,16.7,---,16.65,8.465812242,Ia,IC 0582,ATLAS,Yes
2019dhc,2019dhc,2019/04/08.474,'13:50:33.016,+35:07:50.67,0.021,17.9,---,17.657,4.7,II,UGC 08752,ATLAS,Yes
2019dhg,2019dhg,2019/04/04.709,'09:00:29.694,-40:13:36.56,0.077,18,---,---,12.96,Ia,2MASS J09002950-4013237,Gaia,Yes
2019dma,2019dma,2019/04/14.617,'22:54:49.848,+36:32:36.79,0.0163,17.1,---,---,5.3,II,UGC 12248,ATLAS,No
2019drf,2019drf,2019/04/18.177,'11:15:10.126,+61:06:36.98,0.0566,17.9,---,---,0.3,Ia,MCG +10-16-097,ZTF,Yes
2019dtt,2019dtt,2019/04/20.677,'22:34:37.515,+00:10:32.56,0.016,17.1,---,16.533,13.22965639,IIP,MCG +00-57-004,Gaia,No
2019due,2019due,2019/04/22.499,'16:01:37.586,+16:26:09.63,0.04346,17.9,---,16.74,20.2,Ia,CGCG 108-064,ATLAS,Yes
2019duh,2019duh,2019/04/19.420,'14:57:18.058,+11:18:26.70,0.05,18,---,17.8,0.6,Ia,WISEA J145718.07+111827.0,ZTF,Yes
2019dwq,2019dwq,2019/04/24.297,'14:54:15.619,+04:47:34.75,0.02756,17.2,---,16.31,19.63522392,Ia,IC 1073,ZTF,Yes
2019dyo,2019dyo,2019/04/25.312,'09:01:06.912,+52:39:03.97,0.030003,17.1,---,16.36,12.6,Ia,KUG 0857+528,ATLAS,Yes
2019ecs,2019ecs,2019/04/23.208,'10:43:32.491,+48:26:44.42,0.04131,17.8,---,16.92,8.9,Ia,WISEA J104331.99+482637.7,ZTF,Yes
2019ehk,2019ehk,2019/04/29.935,'12:22:56.130,+15:49:33.60,0.005,15.8,---,16.712,24.08202841,Ib,MESSIER 100,Jaroslaw Grzegorzek,Yes
2019eif,2019eif,2019/04/29.948,'00:11:56.030,-18:21:30.10,0.025271,18,---,17.66,3.06,II,WISEA J001156.29-182130.4,Gaia,No
2019ein,2019ein,2019/05/01.474,'13:53:29.134,+40:16:31.40,0.007755,13.2,---,14.1,39.21836285,Ia-pec,NGC 5353,ATLAS,Yes
2019eix,2019eix,2019/05/01.590,'18:42:42.889,+40:22:07.80,0.018,16,---,---,7.188063686,Ic,NGC 6695,ATLAS,Yes
2019ejj,2019ejj,2019/05/02.263,'08:07:08.763,-28:03:11.82,0.003,17.8,---,15.49,4.1,II,ESO 430- G 020,ATLAS,Yes
2019ekj,2019ekj,2019/05/01.527,'16:17:30.760,+50:42:58.59,0.04,17.5,---,17.32,2.7,II,WISEA J161730.65+504255.9,ATLAS,Yes
2019ekn,2019ekn,2019/05/02.450,'13:54:19.284,-38:51:31.78,0.036,17.2,---,16.68,1.6,Ia,WISEA J135419.16-385132.6,ATLAS,Yes
2019eks,2019eks,2019/05/02.443,'18:48:52.715,+21:21:19.21,0.048,18,---,---,5.4,Ia,WISEA J184852.35+212120.6,ZTF,No
2019enr,2019enr,2019/05/04.326,'09:34:47.720,+10:17:12.81,0.00818,17.4,---,---,11.78462325,II,NGC 2919,ATLAS,No
2019ens,2019ens,2019/05/04.375,'11:29:42.598,+24:38:24.58,0.04,17.8,---,17.41,1.2,Ia,WISEA J112942.52+243825.7,ATLAS,No
2019esa,2019esa,2019/05/06.154,'07:55:00.889,-76:24:43.11,0.005891,14.6,---,15.19,11.87141379,IIn,ESO 035- G 018,DLT40,Yes
2019etc,2019etc,2019/04/28.490,'21:06:08.112,+14:58:53.94,0.052,17.5,---,---,19.3,Ia,WISEA J210607.39+145910.6,ZTF,Yes
2019euw,2019euw,2019/05/08.132,'19:14:03.206,-23:12:37.87,0.04,17.7,---,17.63,19.2,Ia,WISEA J191403.26-231219.2,GOTO,No
2019evf,2019evf,2019/05/09.173,'11:42:00.307,+26:54:52.57,0.0509,18,---,---,3.1,Ia,WISEA J114200.55+265452.7,ZTF,No
2019evz,2019evz,2019/05/09.272,'14:32:30.834,+08:32:26.64,0.038,17.9,---,17.25,1.5,Ia,2MFGC 11800,ZTF,Yes
2019fcc,2019fcc,2019/05/12.282,'13:51:30.870,-52:55:34.40,0.0126,15.8,---,---,11.2,II,AM 1348-524 NED02,MASTER,No
2019fck,2019fck,2019/05/13.183,'13:36:13.015,+38:21:18.22,0.02,14.4,---,14.407,46.11,Ia,NGC 5243,ZTF,Yes
2019fdc,2019fdc,2019/05/13.385,'16:01:06.633,+49:00:35.03,0.0426,17.2,---,16.95,3.2,Ia,WISEA J160106.34+490033.9,ZTF,Yes
2019fie,2019fie,2019/05/14.210,'09:04:50.224,+00:56:40.50,0.076,17,---,---,2.4,Ic-BL,WISEA J090450.24+005642.9,ZTF,No
2019fjp,2019fjp,2019/05/14.569,'21:32:42.952,-36:31:22.74,0.029,18,---,---,3.4,II,WISEA J213243.12-363120.1,ATLAS,No
2019ftd,2019ftd,2019/05/22.385,'12:57:41.150,-24:28:35.45,0.028,17.8,---,17.69,16.1,Ia,ESO 507- G 057,ATLAS,Yes
2019fxo,2019fxo,2019/05/23.321,'11:03:52.610,-03:20:13.28,0.024,17.9,---,17.48,6.6,Ib/c,GALEXASC J110352.52-032022.9,ATLAS,No
2019fya,2019fya,2019/05/24.769,'23:15:16.120,+19:02:30.20,0.0158,16,---,---,15.72229173,II,NGC 7549,Koichi Itagaki,No
2019gaf,2019gaf,2019/05/27.546,'20:36:55.248,+02:48:24.48,0.006,17.6,---,18.06,10.44,IIb,WISEA J203654.59+024818.8,ATLAS,No
2019gbx,2019gbx,2019/05/29.335,'12:50:02.804,-14:46:00.23,0.013,14.9,---,14.82,122.8669784,Ia,MCG -02-33-017,ATLAS,Yes
2019gcl,2019gcl,2019/05/30.186,'11:56:55.020,+22:08:31.51,0.0225,17.9,---,---,1.7,Ic-BL,WISEA J115655.04+220833.1,ZTF,No
2019geb,2019geb,2019/05/28.270,'10:23:20.246,+41:23:41.58,0.0515,18,---,17.396,2,Ia,WISEA J102320.11+412340.0,ZTF,Yes
2019ged,2019ged,2019/05/31.181,'10:04:41.210,+40:02:31.47,0.064,18,---,---,0.1,Ia,WISEA J100441.25+400231.0,ZTF,No
2019gis,2019gis,2019/05/31.416,'16:09:42.876,-04:23:18.01,0.027,17.9,---,16.88,8.1,Ia,WISEA J160942.41-042318.3,ATLAS,Yes
2019gtv,2019gtv,2019/06/03.057,'12:03:15.710,-52:57:27.20,0.042,17.7,---,17.14,5.82,Ia,LEDA 3074107,MASTER,Yes
2019gwf,2019gwf,2019/06/01.449,'18:55:40.334,+51:14:15.78,0.04,17.8,---,---,1.4,Ia,CGCG 280-009,ZTF,Yes
2019gxo,2019gxo,2019/05/30.169,'11:28:58.417,+22:05:22.54,0.0215,17.9,---,16.75,4.4,II,ARK 295,ZTF,Yes
2019gyx,2019gyx,2019/06/02.560,'23:56:30.563,-03:06:08.48,0.02,17.9,---,---,2.5,Ib,2MASX J23563039-0306075,ATLAS,No
2019has,2019has,2019/06/07.426,'02:46:55.181,-24:48:24.01,0.022,15.9,---,15.456,18.88297803,Ia,2MASX J02465637-2448329,Stu Parker,Yes
2019hbb,2019hbb,2019/06/07.443,'23:25:13.041,+09:27:11.41,0.03,17.5,---,16.93,1.5,Ia,WISEA J232512.95+092713.4,ZTF,No
2019hez,2019hez,2019/06/07.410,'17:49:43.955,+48:27:36.04,0.0113,16.8,---,16.45,11.4,Ia,2MFGC 14062,ZTF,Yes
2019hgu,2019hgu,2019/06/10.576,'00:50:24.898,-12:05:42.55,0.021,17.6,---,17.07,1,II,WISEA J005024.91-120541.1,ATLAS,No
2019hgv,2019hgv,2019/06/10.576,'00:49:07.019,-13:46:02.08,0.029,17.2,---,16.82,3.2,Ia,WISEA J004907.23-134604.2,ATLAS,No
2019hhc,2019hhc,2019/06/08.172,'11:21:04.024,+31:14:57.99,0.02373,16.8,---,16.81,14.17444437,II,UGC 06367,ZTF,Yes
2019hhh,2019hhh,2019/06/07.451,'01:26:34.853,+51:43:16.87,0.015,18,---,---,1.26,IIP,WISEA J012634.72+514316.8,ZTF,No
2019hjl,2019hjl,2019/06/11.971,'10:42:29.489,+05:04:59.63,0.02811,17.9,---,---,4.8,II,WISEA J104229.81+050500.2,ATLAS,Yes
2019hkc,2019hkc,2019/06/12.592,'01:25:04.735,-02:30:11.28,0.04,17.9,---,17.74,13.2,Ia,WISEA J012503.94-023009.0,ATLAS,No
2019hma,2019hma,2019/06/11.200,'10:28:58.654,+08:28:46.22,0.047,18,---,---,23,Ia,V1CG 585,ZTF,Yes
2019hnu,2019hnu,2019/06/08.200,'13:32:54.495,+32:06:08.76,0.06,18,---,17.46,6,Ia,2MASX J13325477+3206124,ZTF,No
2019hny,2019hny,2019/06/14.407,'17:15:04.426,+00:28:17.53,0.26,17.4,---,---,2.3,SLSN-I,UNCATALOGUED,ATLAS,No
2019hnz,2019hnz,2019/06/15.175,'11:38:17.450,+16:20:59.39,0.04,18,---,---,4.3,II,WISEA J113817.35+162103.0,ZTF,No
2019hoc,2019hoc,2019/06/15.473,'17:16:24.950,+36:06:50.83,0.04,16.8,---,---,1,Ia,SDSS J171624.95+360649.8,ATLAS,No
2019hsx,2019hsx,2019/06/02.330,'18:12:56.219,+68:21:45.21,0.020652,18,---,17.377,6,Ic-BL,NGC 6621,ZTF,No
2019hvu,2019hvu,2019/06/17.438,'01:50:39.910,+33:05:09.56,0.034,17.9,---,---,39.84,Ia,IC 1733,ZTF,No
2019hvv,2019hvv,2019/06/20.562,'01:14:24.368,-07:28:31.68,0.018,17,---,17.411,18.92717874,Ia,MCG -01-04-016,ATLAS,Yes
2019hwy,2019hwy,2019/06/21.346,'14:10:50.694,+19:01:12.26,0.05,17.9,---,17.981,6.4,Ia,WISEA J141051.14+190109.2,ATLAS,Yes
2019hzu,2019hzu,2019/06/22.878,'02:46:20.256,+44:57:18.36,0.0186,17.2,---,---,10.45229823,Ia,UGC 02233,Gaia,No
2019hzv,2019hzv,2019/06/22.648,'02:05:55.982,+18:26:41.85,0.027589,17.7,---,---,14.3,Ia,CGCG 461-044,Gaia,No
2019ibb,2019ibb,2019/06/24.410,'01:33:41.172,+38:01:17.11,0.038,16.9,---,17.11,0.3,Ia,WISEA J013341.18+380117.1,ZTF,Yes
2019ibj,2019ibj,2019/06/23.626,'02:56:39.293,+47:31:34.21,0.014774,17.3,---,---,2.463367278,Ia,CGCG 554-016,Gaia,No
2019icv,2019icv,2019/06/24.151,'22:18:46.109,-36:48:04.86,0.02,16,---,---,4.99825998,Ia,IC 5186,Stu Parker,No
2019icx,2019icx,2019/06/17.938,'13:51:42.425,-42:40:00.81,0.04,17.7,---,17.8,2.3,Ia,ESO 325- G 032,ATLAS,No
2019ieh,2019ieh,2019/06/26.206,'16:42:10.843,+06:59:02.42,0.032,16.8,---,16.73,1.6,Ic-BL,GALEXASC J164210.77+065901.2,ZTF,Yes
2019iex,2019iex,2019/06/26.457,'23:51:03.612,+20:08:43.69,0.014046,16.3,---,17.03,18.51784132,II,NGC 7769,"David Sand, Wen-fai Fong, Kerry Paterson, Michael Lundquist (SAGUARO)",Yes
2019ifm,2019ifm,2019/06/26.354,'17:23:41.300,+52:00:36.60,0.02407,17.8,---,---,3.3,II,UGC 10839,Tim Puckett et al.,Yes
2019ikb,2019ikb,2019/06/28.440,'17:13:17.756,+43:47:03.14,0.02,17.3,---,16.749,7.274198209,II,NGC 6323,ATLAS,Yes
2019iks,2019iks,2019/06/29.266,'15:17:54.275,+20:50:12.82,0.04,16.4,---,16.16,4.872587824,Ia,2MFGC 12362,ATLAS,Yes
2019ikw,2019ikw,2019/06/26.891,'02:56:26.918,+29:32:39.23,0.04,17.3,---,---,9.2,Ia,WISEA J025627.01+293230.1,Gaia,No
2019ilq,2019ilq,2019/06/29.381,'16:38:41.224,+16:06:25.53,0.05,17.8,---,---,0.1,Ia,2MASX J16384123+1606251,ATLAS,No
2019iml,2019iml,2019/06/29.423,'17:31:17.388,+36:27:02.41,0.0498,17.9,---,---,28.4,Ia,CGCG 198-046,PTF,No
2019jyw,2019jyw,2019/06/28.444,'01:06:30.220,-02:11:56.32,0.011638,15.9,---,16.36,14.08471164,II,CGCG 384-074,ZTF,Yes
2019jzy,2019jzy,2019/06/27.429,'22:50:04.979,+21:02:03.39,0.047,18,---,17.7,5.46,II,WISEA J225005.09+210208.1,ZTF,No
2019kai,2019kai,2019/07/01.598,'23:58:16.548,+27:56:47.43,0.04,18,---,---,6.7,Ia,IV Zw 174,ATLAS,No
2019kbj,2019kbj,2019/07/01.488,'22:11:21.934,+19:37:03.50,0.048,17.9,---,---,1.44,II,GALEXASC J221121.82+193703.5,ATLAS,No
2019kcx,2019kcx,2019/07/02.251,'12:14:10.682,-00:50:45.57,0.025,17.4,---,16.33,52.92,Ia,CGCG 013-107,ATLAS,Yes
2019kep,2019kep,2019/07/02.592,'01:10:20.421,-09:34:29.02,0.02388,18,---,---,13.5,IIn,SDSS J011020.66-093415.9,ATLAS,No
2019kf,2019kf,2019/01/08.454,'10:27:17.431,+26:31:59.11,0.021,17.9,---,16.36,3.5,Ia,2MFGC 08107,ZTF,Yes
2019kg,2019kg,2019/01/08.475,'11:42:45.750,+21:42:53.50,0.037,16.7,---,16.94,0.3,Ia,WISEA J114245.72+214253.3,ZTF,Yes
2019klq,2019klq,2019/07/04.473,'16:15:55.266,+68:21:21.17,0.025,18,---,---,21.6,Ib,IC 1216,ATLAS,No
2019kpv,2019kpv,2019/07/05.551,'23:47:05.597,-34:42:34.78,0.0425,17,---,16.86,3.9,Ia,2dFGRS S545Z216,ATLAS,Yes
2019krv,2019krv,2019/07/07.456,'22:14:43.884,+13:51:53.11,0.02617,16.4,---,16.41,67.54230212,Ia,NGC 7236,ATLAS,Yes
2019krx,2019krx,2019/07/05.331,'17:48:04.427,+15:53:49.12,0.037,17.6,---,17.08,8.52,Ia,WISEA J174804.98+155353.0,ZTF,Yes
2019kud,2019kud,2019/07/07.357,'14:44:29.726,+33:59:10.26,0.032412,16.6,---,16.73,12.21523642,IIn,WISEA J144429.04+335918.9,ATLAS,Yes
2019lbi,2019lbi,2019/07/12.258,'12:40:21.143,+01:16:26.45,0.013,17.1,---,16.819,15.2,II,WISEA J124020.15+011624.2,ATLAS,Yes
2019lbv,2019lbv,2019/07/13.183,'12:52:41.577,+22:59:50.19,0.0318,17.7,---,17.712,1.2,II,WISEA J125241.58+225951.5,ZTF,No
2019lek,2019lek,2019/07/12.173,'11:48:43.670,+14:03:04.31,0.01063,16.7,---,16.84,7.825042761,Ia,CGCG 068-074,ZTF,Yes
2019leu,2019leu,2019/07/13.016,'19:05:16.373,+27:00:25.57,0.016,18,---,---,20.6,II,ALFAZOA J1905+2700,ATLAS,No
2019lhq,2019lhq,2019/07/03.912,'03:52:03.519,+07:05:59.46,0.029,17.8,---,---,8.52,II,WISEA J035203.29+070607.3,Gaia,No
2019lkr,2019lkr,2019/07/16.199,'16:05:07.989,+73:35:03.72,0.035,18,---,17.94,10.3,IIn,WISEA J160510.06+733507.1,ZTF,Yes
2019lkx,2019lkx,2019/07/14.444,'03:41:02.910,+34:39:07.37,0.01,17.6,---,---,7.3,II,WISEA J034102.46+343914.1,ZTF,No
2019llk,2019llk,2019/07/15.321,'19:27:15.130,+43:54:33.81,0.041,17,---,---,0.8,Ia,WISEA J192715.08+435433.3,ZTF,No
2019lnl,2019lnl,2019/07/20.408,'17:02:06.397,+32:59:51.95,0.035,17.7,---,17.86,1.9,II,WISEA J170206.55+325952.5,PS1,No
2019lnt,2019lnt,2019/07/09.444,'22:36:55.955,-22:13:15.37,0.033,18,---,---,0.7,II,ESO 602- G 031,ZTF,No
2019lpy,2019lpy,2019/07/21.572,'20:58:34.620,-27:58:34.42,0.0362,17.4,---,17.08,2.2,Ia,WISEA J205834.73-275835.9,ATLAS,Yes
2019lqv,2019lqv,2019/07/22.355,'21:29:30.173,-23:06:55.37,0.033566,17.7,---,17.51,1.9,Ia,ESO 530- G 053,ZTF,Yes
2019lrh,2019lrh,2019/07/21.778,'23:57:21.138,-67:38:00.51,0.048,17.6,---,16.74,1.74,Ia,GALEXASC J235720.84-673759.9,Gaia,Yes
2019lrj,2019lrj,2019/07/24.198,'20:18:37.910,-54:00:24.16,0.051,17.4,---,---,9.3,Ia,WISEA J201838.98-540024.3,DLT40,No
2019lsc,2019lsc,2019/07/20.291,'18:22:30.870,+18:34:01.63,0.042,18,---,---,12.18,Ia,WISEA J182230.14+183355.2,ZTF,No
2019lsu,2019lsu,2019/07/24.608,'00:28:51.678,-01:04:24.54,0.033,17.9,---,16.17,2.8,Ia,WISEA J002851.57-010422.2,ATLAS,Yes
2019ltt,2019ltt,2019/07/24.475,'07:15:43.302,-71:55:10.02,0.0178,15.8,---,---,19.3,Ia,WISEA J071540.72-715525.1,Gaia,No
2019ltx,2019ltx,2019/07/25.567,'23:59:02.675,-33:13:47.64,0.051,17.6,---,17.96,5.1,Ia,WISEA J235902.38-331343.6,ATLAS,Yes
2019luz,2019luz,2019/07/25.494,'21:27:38.704,-32:01:25.64,0.049,18,---,18.04,0.7,II,MRSS 465-150838,ATLAS,No
2019lwe,2019lwe,2019/07/28.247,'15:59:31.477,+43:25:46.49,0.038,17.9,---,---,13.3,Ia,SDSS J155931.08+432533.8,ATLAS,No
2019mcw,2019mcw,2019/07/28.610,'05:06:36.396,+07:35:44.23,0.045,17.8,---,17.58,21.5,Ia,WISEA J050635.01+073538.7,ATLAS,No
2019meh,2019meh,2019/07/02.806,'21:27:17.452,+64:24:59.17,0.093,17.5,---,---,0.06,SLSN-II,WISEA J212717.45+642459.2,ZTF,No
2019mhm,2019mhm,2019/08/02.551,'19:11:24.060,-57:03:18.00,0.0106,16.6,---,16.761,19.88152449,II,NGC 6753,"Peter Marples, Greg Bock, Pat Pearl",Yes
2019mkr,2019mkr,2019/08/03.169,'17:11:05.785,+05:51:07.35,0.0224,17.2,---,17.64,1.255801111,II,UGC 10738,ZTF,Yes
2019mny,2019mny,2019/08/04.407,'21:47:09.805,-45:13:26.49,0.038,17.9,---,18.04,26.1,Ic,WISEA J214708.58-451349.0,ATLAS,No
2019moe,2019moe,2019/08/04.594,'00:42:29.789,+24:13:12.66,0.061,17.9,---,---,2.34,Ia,WISEA J004229.60+241312.8,ATLAS,No
2019mpv,2019mpv,2019/08/03.052,'06:01:33.876,-38:59:35.34,0.047,17.6,---,---,2.5,Ia,WISEA J060133.94-385937.4,Gaia,No
2019mue,2019mue,2019/08/04.319,'19:41:19.712,+51:48:59.71,0.041,17.5,---,---,31.08,Ia,WISEA J194116.44+514906.1,ZTF,No
2019mva,2019mva,2019/08/05.958,'03:44:38.080,-20:10:12.03,0.039864,17.1,---,17.18,9.598684013,Ia,ESO 549-IG 008,Gaia,Yes
2019nim,2019nim,2019/08/09.307,'06:26:13.017,-23:04:03.97,0.036,17.8,---,---,3.48,II,WISEA J062612.79-230405.4,Gaia,No
2019nka,2019nka,2019/08/12.945,'07:34:11.000,+58:42:02.30,0.041,17.3,---,---,35.37225616,Ia,CGCG 286-031,MASTER,No
2019nkf,2019nkf,2019/08/12.865,'10:40:58.870,+65:30:55.30,0.0108,16,---,---,1.84925687,Ic,SDSS J104058.57+653054.6,MASTER,No
2019np,2019np,2019/01/09.665,'10:29:21.960,+29:30:38.40,0.00452,13,---,13.47,72.78,Ia,NGC 3254,Koichi Itagaki,Yes
2019npx,2019npx,2019/08/16.253,'20:32:52.075,-12:51:00.34,0.057,17.5,---,---,2.9,IIn,GALEXASC J203252.26-125101.1,ZTF,No
2019nud,2019nud,2019/08/18.175,'21:38:33.620,+44:09:32.61,0.038974,16.7,---,---,0.1,II,WISEA J213833.63+440932.7,ZTF,No
2019nvv,2019nvv,2019/08/19.307,'16:19:18.423,+42:13:09.43,0.04,16.7,---,16.46,1.5,Ia,WISEA J161918.24+421308.7,ATLAS,No
2019nyk,2019nyk,2019/08/20.419,'00:15:15.205,-08:11:21.84,0.021,17.5,---,16.88,8.468999138,II,WISEA J001514.76-081116.5,ZTF,Yes
