HostName,Redshift,SNName,Type,Offset,Av,NUVmag,,umag,,gmag,,rmag,,imag,,zmag,,ymag,,Jmag,,Hmag,,Kmag,,W1mag,,W2mag,
2MASX J14314417+4546407,0.035139,ASASSN-18bk,Ia,0.6,0,---,---,19.202,0.047,17.94879913,0.006079,17.20219994,0.003791,16.83609962,0.002788,16.68510056,0.005032,16.44350052,0.009414,15.497,0.123,14.817,0.167,14.281,0.161,14.01,0.026,13.637,0.03
GALEXASC J103204.97-363738.3,---,ASASSN-18bm,Ia,9.12,0.237,19.1383,0.0757,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14.473,0.029,14.171,0.041
WISEA J180100.44+614146.8,'---,ASASSN-18bq,IIb,2.8,0.389,---,---,---,---,20.1678009,0.039733,19.86879921,0.028654,19.48390007,0.023034999,19.74729919,0.068967,19.94140053,0.111924998,---,---,---,---,---,---,17.683,0.079,17.928,0.345
UGC 04780,0.010981,ASASSN-18bt,Ia,8.4,0.105,---,---,21.951,0.216,16.38260078,0.003647,19.01390076,0.018933,15.45810032,0.002527,15.2585001,0.003986,21.27109909,0.267854989,---,---,---,---,---,---,14.765,0.034,14.596,0.061
2MASX J05070078-3241051,0.066673,ASASSN-18bu,Ia,5.97,0,18.5534,0.0557,---,---,---,---,---,---,---,---,---,---,---,---,13.517,0.061,12.852,0.073,12.411,0.104,12.72,0.023,12.666,0.024
2MASX J07103280+3238411,0.060934,ASASSN-18bw,Ia,14.38,0.329,19.9712,0.1398,---,---,16.03980064,0.002221,15.23919964,0.000781,14.77600002,0.001305,14.53009987,0.001953,14.38549995,0.003449,13.264,0.048,12.55,0.063,12.205,0.077,12.247,0.023,12.227,0.024
WISEA J113252.03-384605.8,'---,ASASSN-18bx,Ia,23,0.405,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,17.566,0.16,17.058,0.383
IC 3896A,0.007111,ASASSN-18cb,II,60.46,1.033,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13.364,0.029,12.62,0.03,12.389,0.049,11.903,0.027,11.867,0.023
IC 0988,0.026857,ASASSN-18cc,Ia,5.85,0.049,18.3644,0.0401,15.986,0.007,14.27280045,0.000635,13.61919975,0.000452,13.33990002,0.000389,13.11699963,0.000548,12.85669994,0.00104,11.847,0.024,11.114,0.032,10.907,0.053,11.168,0.023,11.193,0.022
FAIRALL 1138,0.037189,ASASSN-18ce,Ia,9.69,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13.134,0.045,12.379,0.047,11.908,0.077,12.168,0.023,12.016,0.022
