SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-18aj,SN 2018dx,2018-01-10.210,'09:16:12.28,'+39:03:42.77,0.06,17.3,---,17.14,1.06,Ia,4,SDSS J091612.25+390341.8,,
ASASSN-18al,SN 2018ep,2018-01-12.39,'11:22:40.75,'+12:01:31.66,0.039841,17.1,---,16.83,3.16,Ia,10,IC 2777,,
ASASSN-18am,SN 2018gk,2018-01-13.64,'16:35:53.90,'+40:01:58.30,0.031009,16.6,---,15.91,8.55,II,14,WISE J163554.27+400151.8,,
ASASSN-18an,SN 2018gl,2018-01-13.57,'09:58:06.11,'+10:21:33.62,0.017906,16.8,---,16.05,12.5,Ia,8,NGC 3070,,
ASASSN-18ao,AT 2018gm,2018-01-14.32,'10:21:19.14,'+20:54:37.33,0.04104,18.1,---,17.72,0.77,Ia,10,SDSS J102119.17+205436.5,,
ASASSN-18ap,SN 2018gn,2018-01-14.12,'01:46:42.38,'+32:30:27.18,0.037503,17.7,---,16.69,1.79,II,13,KUG 0143+322,,
ASASSN-18aq,AT 2018hj,2018-01-16.12,'04:33:27.21,'-38:41:34.98,Unk,18,---,17.75,4.37,Unk,1,LCRS B043143.0-384747,,
ASASSN-18ar,SN 2018hv,2018-01-15.18,'03:30:11.15,'-13:31:22.84,0.040978,18.3,---,17.37,3,Ia,20,2MASX J03301134-1331226,,
ASASSN-18av,AT 2018hy,2018-01-18.06,'01:40:07.54,'-06:25:41.81,0.051165,17.4,16.79,---,0.69,Unk,14,2MASX J01400755-0625426,,
ASASSN-18ax,AT 2018ir,2018-01-19.26,'07:42:47.42,'+19:09:48.10,Unk,18.3,---,17.98,10.38,Unk,2,SDSS J074246.92+190955.6,,
ASASSN-18az,SN 2018jh,2018-01-21.43,'14:21:17.50,'-06:37:38.78,0.0272,16.8,---,16.2,6.05,Ia,9,2MASX J14211713-0637416,,
ASASSN-18ba,SN 2018jm,2018-01-20.05,'05:08:11.96,'-54:38:41.21,0.064,18.1,---,17.46,1.5,Ia,2,GALEXASC J050811.97-543842.4,,
ASASSN-18be,AT 2018jt,2018-01-22.12,'06:13:11.53,'-49:06:11.66,Unk,17.9,---,17.52,11.28,Unk,2,2MASX J06131068-4906047,,
ASASSN-18bi,SN 2018ko,2018-01-24.43,'12:21:35.22,'+15:59:08.92,0.033303,17,---,16.24,8.95,Ia,6,VCC 0485,,
ASASSN-18bj,SN 2018kq,2018-01-24.34,'09:24:57.27,'+40:23:56.15,0.027804,17.7,---,17.25,7.45,Ic-BL,-4,KUG 0921+406,,
ASASSN-18bk,SN 2018kz,2018-01-26.45,'14:31:44.15,'+45:46:41.95,0.035171,18.1,---,17.2,0.6,Ia,9,2MASX J14314417+4546407,,
ASASSN-18bm,SN 2018lm,2018-01-28.31,'10:32:04.87,'-36:37:29.28,0.045,17.5,---,16.8,9.12,Ia,6,GALEXASC J103204.97-363738.3,,
ASASSN-18bq,SN 2018mc,2018-01-29.51,'18:01:00.83,'+61:41:46.93,0.035,17.4,---,17.2,2.8,IIb,1,WISEA J180100.44+614146.8,,
ASASSN-18bt,SN 2018oh,2018-02-04.410,'09:06:39.65,'+19:20:17.56,0.010981,15.2,---,14.18,8.4,Ia,9,UGC 04780,,
ASASSN-18bu,SN 2018pg,2018-02-03.05,'05:07:01.07,'-32:41:09.85,0.066673,18.1,---,17.65,5.97,Ia,3,2MASX J05070078-3241051,,
ASASSN-18bw,SN 2018pj,2018-02-04.18,'07:10:31.73,'+32:38:45.96,0.055,18,---,17.37,14.38,Ia,8,2MASX J07103280+3238411,,
ASASSN-18bx,SN 2018po,2018-02-06.94,'11:32:51.93,'-38:45:42.91,0.032,16.9,---,16.66,23,Ia,3,WISEA J113252.03-384605.8,,
ASASSN-18cb,SN 2018pq,2018-02-08.38,'12:55:31.25,'-50:03:16.96,0.007111,15.7,15.62,---,60.46,II,0,IC 3896A,,
ASASSN-18cc,SN 2018qp,2018-02-09.66,'14:14:32.39,'+03:11:22.16,0.026934,16.3,---,16.5,5.85,Ia,8,IC 0988,,
