SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-19acc,SN 2019vxm,2019-12-01.04,'19:58:28.53,'+62:08:15.79,0.019,15.4,---,14.7,8.4,IIn,14,WISEA J195828.75+620824.8,,
ASASSN-19acx,SN 2019wdx,2019-12-07.39,'08:23:41.45,'+21:26:05.17,0.017155,16.6,---,16.34,0.44,Ia,-1,IC 2341,,
ASASSN-19adg,SN 2019wrz,2019-12-15.48,'12:03:07.12,'+20:48:20.77,0.023666,16.8,---,16.19,1.23,Ia,-2,CGCG 128-002,,
ASASSN-19adi,AT 2019wxr,2019-12-18.09,'22:12:43.28,'-61:53:11.57,0.056399,17.9,---,16.89,12.13,Unk,-13,WISEA J221242.67-615322.9,,
ASASSN-19adm,SN 2019xfi,2019-12-20.33,'12:39:47.96,'-48:17:41.10,0.017969,16.3,---,16,10.21,Ia,4,ESO 218-G 013,,
ASASSN-19adn,AT 2019xgq,2019-12-19.91,'06:28:18.73,'-54:15:08.89,0.052059,17.8,---,17.64,0.06,Unk,1,WISEA J062818.75-541508.8,,
ASASSN-19adp,SN 2019xin,2019-12-22.39,'09:44:48.89,'-16:55:59.81,0.06,17.8,---,17.49,2.55,Ia,6,WISEA J094449.09-165600.1,,
ASASSN-19adq,SN 2019xit,2019-12-22.29,'04:37:17.92,'-22:12:57.42,0.064,18,---,17.16,0.61,Ia-91T,2,WISEA J043717.95-221257.4,,
ASASSN-19adu,SN 2019xtw,2019-12-24.24,'02:43:33.61,'-38:37:30.50,0.015964,17.1,---,16.13,8.14,II,21,ESO 299-G 013,,
ASASSN-19adv,AT 2019xtx,2019-12-23.89,'02:52:13.80,'-39:16:16.54,Unk,17.7,---,16.7,14.8,Unk,-11,WISEA J025214.97-391610.4,,
ASASSN-19adz,SN 2019ybv,2019-12-27.24,'06:50:08.94,'-45:57:38.48,0.04,17.6,---,16.76,3.39,Ia-91T,13,WISEA J065009.20-455737.5,,
ASASSN-19aeb,SN 2019ymy,2019-12-28.24,'22:20:21.35,'+18:56:38.00,0.030581,16.3,---,16.2,11.27,Ia,1,KUG 2217+186,,
ASASSN-19af,SN 2019cj,2019-01-03.26,'04:56:22.92,'-46:02:13.38,0.044521,18.3,---,17.2,20.79,SN,13,AM 0454-460,,
ASASSN-19ah,SN 2019im,2019-01-08.03,'13:17:53.65,'-21:24:11.34,0.04322,17.8,---,17.21,12.08,Ia,15,2MASX J13175286-2124156,,
ASASSN-19ai,AT 2019kh,2019-01-07.19,'04:29:01.62,'-61:16:51.82,Unk,18.2,---,17.26,0.16,Unk,13,GALEXASC J042901.67-611651.0,,
ASASSN-19aj,SN 2019mh,2019-01-09.58,'12:02:36.14,'+04:32:58.60,0.018848,16.2,---,15.87,3.11,SN,12,SDSS J120236.32+043259.7,,
ASASSN-19ao,AT 2019oy,2019-01-10.09,'02:45:28.60,'-62:07:27.55,0.0257,17.7,---,16.66,8.57,Unk,10,2MASX J02452974-6207300,,
ASASSN-19at,SN 2019rm,2019-01-12.24,'05:53:13.25,'-73:06:56.88,0.02,16.2,---,15.82,2.22,Ia,12,2MASX J05531375-7306576,,
ASASSN-19au,AT 2019rv,2019-01-13.21,'09:07:31.75,'-72:11:17.34,Unk,17,---,16.15,18.2,Unk,-4,WISEA J090733.47-721133.7,,
ASASSN-19av,SN 2019rz,2019-01-14.42,'06:50:25.76,'+43:03:11.95,0.018853,17.4,---,16.39,0.58,IIn,7,UGC 03554,,
ASASSN-19bj,AT 2019aeg,2019-01-26.09,'06:33:33.64,'-61:00:27.07,0.046679,18.2,---,17.29,13.24,Unk,-2,ESO 121-G 038,,
ASASSN-19bk,SN 2019aex,2019-01-27.09,'00:39:15.69,'+06:41:18.38,0.038683,17.4,---,16.84,0.26,Ia,2,2MASX J00391571+0641188,,
ASASSN-19bs,SN 2019ahh,2019-01-30.09,'14:02:15.14,'+09:46:58.94,0.022549,17.4,---,16.58,6.49,Ia-91bg,19,2MASX J14021471+0946557,,
ASASSN-19bx,SN 2019aja,2019-02-01.48,'16:23:08.03,'+19:00:20.77,0.036228,16.8,---,16.39,0.88,Ia,-4,CGCG 109-010 NED01,,
ASASSN-19cf,SN 2019amr,2019-02-05.35,'14:16:27.73,'-45:25:12.65,0.035908,17.3,---,16.63,10.17,Ia,8,2MASX J14162872-4525137,,
ASASSN-19ci,SN 2019ano,2019-02-06.14,'08:49:20.66,'+11:11:56.69,0.072,18.1,---,17.67,4.83,Ia-91T,2,SDSS J084920.46+111152.7,,
ASASSN-19co,SN 2019aos,2019-02-06.20,'13:12:38.63,'-30:01:23.95,0.03,17.5,---,16.08,4.54,Ia-91T,14,GALEXASC J131238.32-300121.7,,
ASASSN-19cy,SN 2019axf,2019-02-13.49,'16:24:26.42,'+82:47:41.71,0.023,16,---,15.93,2.3,Ia,1,WISEA J162425.57+824744.8,,
ASASSN-19dh,SN 2019azf,2019-02-22.02,'01:12:31.46,'-45:48:49.86,0.030568,17,---,16.57,5.96,Ia,-2,GALEXASC J011231.92-454853.4,,
ASASSN-19di,AT 2019azg,2019-02-22.03,'02:04:21.51,'-53:28:35.11,Unk,17.8,---,16.91,12.06,Unk,-1,GALEXASC J020422.26-532846.9,,
ASASSN-19dj,AT 2019azh,2019-02-22.03,'08:13:16.94,'+22:38:53.81,0.022346,16.3,---,15.06,0.23,Unk,28,KUG 0810+227,,
ASASSN-19dk,SN 2019bcf,2019-02-25.38,'19:16:21.46,'-40:07:43.97,0.01986,16.6,---,15.46,23.21,Ia,-3,ESO 337-G 016,,
ASASSN-19du,SN 2019bju,2019-02-28.82,'06:06:45.71,'-48:50:53.12,0.029,17.5,---,16.69,3.57,II,-8,2MASX J06064578-4850572,,
ASASSN-19dv,SN 2019bjv,2019-03-01.46,'16:25:38.64,'+47:26:14.06,0.0265,17.8,---,17.87,0.33,Ic,0,SDSS J162538.62+472614.3,,
ASASSN-19dw,SN 2019bjw,2019-03-02.41,'10:55:47.43,'+27:40:17.57,0.03005,17,---,16.37,0.68,Ia,-6,2MASX J10554741+2740166,,
ASASSN-19dx,AT 2019bjx,2019-03-02.11,'06:25:17.32,'-85:41:54.46,0.041665,17.7,---,17.32,16.21,Unk,5,2MASX J06253176-8541548,,
ASASSN-19dy,SN 2019bjy,2019-03-02.24,'13:06:00.94,'-37:36:57.92,0.04901,17.9,---,16.91,1.02,Ia,-10,2MASX J13060097-3736577,,
ASASSN-19dz,SN 2019bjz,2019-03-02.10,'16:02:11.83,'+15:55:05.45,0.03326,16.8,---,15.27,0.46,Ia,-2,III Zw 075 NOTES01,,
ASASSN-19ea,SN 2019bka,2019-03-02.15,'11:44:25.80,'+19:42:48.20,0.024,16.8,---,15.68,5.75,Ia-91T,15,ABELL 1367:[GP82] 0726,,
ASASSN-19eb,SN 2019bkg,2019-03-02.81,'04:53:17.96,'-32:50:49.20,0.036519,17.9,---,17.22,1.91,II,3,GALEXASC J045317.84-325047.7,,
ASASSN-19ec,SN 2019bkh,2019-03-03.39,'13:08:57.32,'+28:16:52.56,0.01951,17.6,---,15.82,3.38,Ia,15,MCG +05-31-141,,
ASASSN-19ed,AT 2019bkz,2019-03-03.83,'03:28:40.99,'-47:14:09.38,0.03883,17.7,---,17.42,8.57,Unk,12,GALEXASC J032840.28-471403.3,,
ASASSN-19et,SN 2019bnc,2019-03-06.05,'13:31:28.44,'+25:12:12.31,0.045645,18,---,17.66,0.83,Ia,9,2MASXi J1331285+251212,,
ASASSN-19ev,SN 2019bpb,2019-03-07.14,'05:12:09.77,'-43:55:16.39,0.06,17.5,---,16.22,6.5,Ia,14,2MASX J05120920-4355163,,
ASASSN-19ew,SN 2019bpc,2019-03-07.43,'12:34:43.78,'+46:57:31.64,0.024449,17.5,---,16.15,5.14,Ia,13,UGC 07744,,
ASASSN-19fa,AT 2019bqd,2019-03-08.05,'03:22:54.10,'-36:45:53.10,0.041062,17.5,---,17.38,17.92,Unk,6,ESO 357-G 024,,
ASASSN-19fh,SN 2019brq,2019-03-07.32,'17:48:38.21,'-66:25:40.66,0.040044,17.6,---,17.14,9.79,Ia,11,2MASX J17483658-6625421,,
ASASSN-19fi,SN 2019bsa,2019-03-12.89,'11:10:51.75,'+28:42:10.98,0.033997,17,---,15.81,3.32,Ia,6,MCG +05-27-004 NED02,,
ASASSN-19fx,SN 2019bse,2019-03-13.35,'09:26:02.54,'+18:56:24.72,0.025,17.2,---,15.83,0.36,Ia,10,SDSS J092602.52+185624.8,,
ASASSN-19gl,SN 2019btp,2019-03-15.35,'17:43:26.01,'+05:38:19.46,0.041856,17.6,---,17.16,25.69,Ia,6,2MASX J17432751+0538323,,
ASASSN-19hg,AT 2019cdb,2019-03-25.05,'04:20:31.85,'-38:57:34.74,0.041229,17.3,---,16.96,5.33,Unk,-1,LCRS B041846.9-390434,,
ASASSN-19hm,SN 2019clh,2019-03-27.12,'13:27:12.99,'-31:08:41.96,0.046332,17.8,---,17.09,5.45,Ia,7,GALEXASC J132713.29-310837.3,,
ASASSN-19hp,SN 2019clp,2019-03-28.34,'12:13:39.84,'+16:07:24.28,0.024184,17.1,---,16.98,7.33,II,2,UGC 07230 NED02,,
ASASSN-19hq,SN 2019clq,2019-03-28.38,'07:36:37.43,'+74:26:46.93,0.012355,16.8,---,16.28,13.85,Ib-pec,1,UGC 03906,,
ASASSN-19hu,SN 2019cmh,2019-03-27.46,'10:34:39.39,'+53:58:23.41,0.046386,18,---,17,4.72,Ia,3,SDSS J103439.83+535820.8,,
ASASSN-19hv,SN 2019com,2019-03-31.210,'18:31:06.91,'-71:41:32.82,0.012799,16.7,---,15.85,4.39,II,15,IC 4712,,
ASASSN-19hw,AT 2019cqp,2019-03-31.910,'02:35:17.55,'-63:11:48.08,Unk,17.5,---,16.53,1.14,Unk,-39,2MASX J02351770-6311480,,
ASASSN-19ih,SN 2019cqs,2019-03-28.01,'04:34:12.99,'-12:51:21.60,0.03835,18,---,16.42,1.21,Ia,14,GALEXASC J043412.96-125119.7,,
ASASSN-19ik,SN 2019csd,2019-03-24.15,'20:45:24.30,'-67:33:11.74,0.034067,16.7,---,16.71,13.88,Ia,0,IC 5032,,
ASASSN-19io,AT 2019ctz,2019-04-04.14,'21:33:10.65,'-18:20:24.50,Unk,17.7,---,17.16,4.65,Unk,7,2MASX J21331035-1820223,,
ASASSN-19ip,SN 2019cvl,2019-04-04.08,'19:32:22.10,'-29:23:07.87,0.023766,16.9,---,16.05,33.06,Ia,10,ESO 460-G 010,,
ASASSN-19iz,AT 2019cwi,2019-04-07.310,'22:02:27.55,'-53:22:10.74,Unk,17.7,---,17.17,6.2,Unk,-3,GALEXASC J220226.96-532206.9,,
ASASSN-19jg,SN 2019cwt,2019-04-08.37,'20:00:40.17,'-34:47:42.57,0.018086,17.1,---,16.76,85.81,Ic-pec,-6,ESO 399-G 014,,
ASASSN-19jl,SN 2019cxy,2019-04-09.01,'10:27:31.73,'-26:24:39.53,0.057456,18,---,16.9,1.42,Ia,7,2MASX J10273182-2624406,,
ASASSN-19jo,AT 2019dex,2019-04-09.42,'22:43:18.73,'-59:24:49.97,0.017179,16.8,---,15.76,0.94,Unk,156,ESO 147-G 006,,
ASASSN-19jr,SN 2019dez,2019-04-10.10,'21:16:01.30,'-58:38:08.59,0.034,17.5,---,17.13,4.9,II,17,APMBGC 144-129-063,,
ASASSN-19jx,SN 2019dkd,2019-04-12.12,'21:02:42.10,'-60:06:19.51,0.0474,17.3,---,16.71,17.94,Ia,3,2MASX J21024231-6006375,,
ASASSN-19jy,SN 2019dke,2019-04-11.88,'12:53:38.21,'-26:17:31.34,0.010637,17,---,16.37,29.93,II,5,ESO 507-G 042,,
ASASSN-19jz,SN 2019dkq,2019-04-12.41,'22:24:28.92,'-56:30:47.09,0.036368,17,---,16.82,0.69,Ia,8,ESO 190-G 005,,
ASASSN-19ka,AT 2019dkr,2019-04-13.03,'18:48:13.50,'-63:23:38.15,0.01447,17.3,---,16.95,43.37,Unk,8,IC 4770,,
ASASSN-19kb,AT 2019dlc,2019-04-13.26,'12:45:51.03,'-09:45:21.17,Unk,18.3,---,17.37,2.03,Unk,5,2MASXi J1245511-094519,,
ASASSN-19kc,AT 2019dlj,2019-04-14.26,'06:58:42.07,'+20:53:42.72,Unk,14.7,---,15.1,10.8,Unk,2,WISEA J065841.31+205343.0,,
ASASSN-19kh,SN 2019dnt,2019-04-16.33,'21:00:01.56,'-49:57:57.10,0.049047,17.5,---,16.59,3.45,Ia,6,ESO 235-IG 030,,
ASASSN-19kn,SN 2019dps,2019-04-15.36,'20:58:41.57,'-54:11:06.94,0.044107,17.9,---,17.8,14.61,Ic,-5,ESO 187-G 038,,
ASASSN-19ku,SN 2019dwy,2019-04-09.310,'11:14:10.82,'+70:46:04.55,0.045,18.2,---,16.59,0.71,Ic,8,2MASX J11141082+7046053,,
ASASSN-19kw,SN 2019edm,2019-04-27.42,'23:47:45.21,'-27:29:08.16,0.030258,16,---,15.84,9.28,Ia,0,ESO 471-G 018,,
ASASSN-19kx,SN 2019edo,2019-04-27.32,'12:11:51.57,'+24:08:11.69,0.008569,16.7,---,16.28,48.1,II,12,NGC 4162,,
ASASSN-19ky,SN 2019edz,2019-04-27.15,'15:13:12.16,'+71:12:40.10,0.037116,17.4,---,16.93,0.06,Ia,18,UGC 09786,,
ASASSN-19kz,AT 2019eez,2019-04-27.99,'06:16:22.26,'-21:21:35.14,0.009143,16.8,---,16.29,46.58,Unk,5,NGC 2207,,
ASASSN-19le,SN 2019ehg,2019-04-29.00,'11:51:17.80,'-34:09:37.80,0.042,17.7,---,17.31,0.49,Ia,-10,2MASX J11511776-3409381,,
ASASSN-19lf,SN 2019ehn,2019-04-30.310,'17:14:35.60,'-71:36:46.15,0.03,17.3,---,16.6,1.74,Ia,5,2MASX J17143533-7136446,,
ASASSN-19lg,SN 2019eho,2019-04-30.37,'21:25:53.29,'+00:24:52.81,0.03177,17.9,---,16.92,8.59,Ia,-6,2MASX J21255379+0024583,,
ASASSN-19ln,SN 2019eim,2019-05-01.39,'23:49:42.97,'-69:42:03.31,0.039,17.3,---,15.39,1.48,Ia,11,2MASS J23494319-6942038,,
ASASSN-19lp,SN 2019ejf,2019-05-02.37,'22:52:29.32,'-11:05:25.30,0.025271,16.8,---,16.7,6.9,II,8,2MASX J22522926-1105320,,
ASASSN-19ls,SN 2019emh,2019-05-03.17,'17:52:58.00,'-70:00:03.71,0.05795,17.7,---,17.31,2.39,Ia,0,2MASX J17525816-7000014,,
ASASSN-19ma,SN 2019eto,2019-05-07.30,'09:49:50.67,'+12:41:43.48,0.029921,17.1,---,16.68,0.7,Ic-BL,11,NGC 3016,,
ASASSN-19mb,SN 2019etp,2019-05-06.62,'23:57:23.08,'+30:59:26.63,0.015621,16.7,---,16.33,12.65,II,13,UGC 12864,,
ASASSN-19md,AT 2019ewc,2019-05-08.15,'09:10:37.59,'-09:30:10.91,0.054704,17.9,---,16.93,0.22,Unk,7,2MASX J09103759-0930108,,
ASASSN-19mh,SN 2019exy,2019-05-11.14,'23:45:41.96,'-38:31:04.66,0.049,17.3,---,17.1,0.23,Ia,5,LCRS B234304.2-384744,,
ASASSN-19mi,SN 2019fbz,2019-05-11.14,'23:30:55.56,'-38:00:46.44,0.046489,17.8,---,16.98,0.38,Ia,11,LCRS B232815.0-381721,,
ASASSN-19mj,SN 2019fcb,2019-05-12.32,'18:30:29.01,'+74:07:15.89,0.024757,17.5,---,17.11,4.13,Ia,-3,CGCG 340-049,,
ASASSN-19mk,SN 2019fcg,2019-05-12.38,'21:30:28.48,'-32:36:44.21,0.055,17.2,---,16.74,1.02,IIn,3,2MASX J21302854-3236436,,
ASASSN-19ml,SN 2019fcn,2019-05-08.97,'08:07:08.00,'-28:03:22.97,0.003402,16.3,---,14.95,15.96,II,10,ESO 430-G 020,,
ASASSN-19mm,SN 2019fcr,2019-05-13.46,'13:33:19.62,'+41:12:56.99,0.027236,16.9,---,16.01,0.27,Ia,5,2MASX J13331961+4112571,,
ASASSN-19my,SN 2019fmm,2019-04-26.45,'22:26:48.53,'+35:31:07.54,0.020057,16.2,---,16.06,0.95,Ia,-4,UGC 12039,,
ASASSN-19nb,SN 2019fmr,2019-05-16.37,'23:17:38.75,'-59:15:42.23,0.026915,16.8,---,15.47,11.78,Ia-91T,12,GALEXASC J231739.47-591551.0,,
ASASSN-19nd,SN 2019fpc,2019-05-18.310,'00:09:47.63,'-57:59:50.21,0.035745,16.7,---,16.74,10.87,Ia,3,2MASX J00094894-5759478,,
ASASSN-19ng,SN 2019fum,2019-05-21.810,'12:41:12.28,'-16:56:40.88,0.035558,17.1,---,16.96,0.41,Ia,-7,2MASX J12411229-1656404,,
ASASSN-19nk,SN 2019fxk,2019-05-23.39,'00:52:12.98,'-59:14:02.94,0.026,17.1,---,15.57,0.69,Ia,1,2MASX J00521308-5914031,,
ASASSN-19nm,SN 2019fyw,2019-05-25.32,'13:07:18.46,'+02:00:11.56,0.01943,17.8,---,16.89,7.64,II,14,CGCG 016-002,,
ASASSN-19nn,SN 2019fzm,2019-05-27.31,'14:56:32.88,'-02:06:23.08,0.023129,17.2,---,16.11,4.14,Ia,8,CGCG 020-034,,
ASASSN-19nq,SN 2019gak,2019-05-28.12,'17:50:29.55,'-65:37:21.47,0.045,17.6,---,16.88,1.76,Ia,-4,2MASS J17502947-6537206,,
ASASSN-19ns,SN 2019gcc,2019-05-26.33,'17:34:06.40,'+25:20:38.33,0.026161,17.1,---,16.48,0.36,Ia,-6,UGC 10905,,
ASASSN-19nv,SN 2019gfb,2019-05-30.60,'23:47:25.87,'+00:56:58.13,0.027482,17.1,---,16.33,1.38,Ia,11,2MASX J23472586+0056596,,
ASASSN-19nw,SN 2019gqk,2019-05-29.61,'00:55:51.78,'+43:29:23.75,0.013,17,---,17.09,6.81,IIP,4,CGCG 536-010,,
ASASSN-19nx,SN 2019gql,2019-06-01.12,'00:51:40.85,'-13:19:05.38,0.021,17.4,---,16.87,0.69,II,3,2MASS J00514093-1319057,,
ASASSN-19ny,SN 2019gqv,2019-06-01.74,'07:50:19.08,'-72:52:35.33,0.017549,16.7,---,16.25,6.73,Ia,13,ESO 035-G 017,,
ASASSN-19nz,AT 2019grp,2019-06-02.43,'02:49:46.50,'-55:37:32.59,0.021245,18,---,14.44,16.06,Unk,18,2MASX J02494744-5537188,,
ASASSN-19oe,SN 2019gvo,2019-06-01.14,'00:54:31.01,'-49:08:52.22,0.05,18.1,---,16.99,5.76,Ia,15,GALEXASC J005431.13-490857.1,,
ASASSN-19oi,SN 2019gxa,2019-06-04.42,'23:53:51.78,'-40:01:20.03,0.04,17.4,---,15.84,6.62,Ia,-17,APMUKS(BJ) B235115.71-401758.3,,
ASASSN-19ol,SN 2019has,2019-06-07.42,'02:46:55.07,'-24:48:24.23,0.0221,16.4,---,15.37,20.15,Ia,11,2MASX J02465637-2448329,,
ASASSN-19op,SN 2019hcg,2019-06-07.39,'16:04:43.32,'+27:57:11.63,0.077296,18.3,---,16.23,3.3,Ia,28,2MASX J16044353+2757082,,
ASASSN-19oq,AT 2019hcm,2019-06-08.510,'01:43:14.88,'+31:18:26.17,Unk,17.2,---,16.08,10.29,Unk,17,KUG 0140+310,,
ASASSN-19or,SN 2019hcn,2019-06-08.18,'13:15:31.69,'-86:04:07.03,0.018,17.4,---,16.66,3.33,II,7,2MASS J13152953-8604094,,
ASASSN-19pj,AT 2019hlv,2019-06-12.18,'19:40:27.92,'-51:01:10.31,Unk,17,---,16.31,7.3,Unk,8,WISEA J194027.87-510116.4,,
ASASSN-19pk,AT 2019hmp,2019-06-14.12,'18:21:33.20,'-49:33:52.49,0.061089,16.4,---,17,25.07,Unk,5,2MASX J18213216-4933293,,
ASASSN-19pn,SN 2019hsw,2019-06-18.13,'09:20:33.75,'+64:04:22.76,0.005779,15.4,---,14.89,138.4,II,3,NGC 2805,,
ASASSN-19pt,SN 2019hyk,2019-06-22.35,'14:17:57.89,'+26:25:17.44,0.014744,17.1,---,15.35,34.08,II,19,IC 4397,,
ASASSN-19qg,SN 2019igz,2019-06-26.73,'10:59:41.64,'+10:50:01.14,0.034584,18,---,16.5,4,Ia,-22,2MASX J10594188+1049591,,
ASASSN-19qm,AT 2019ijf,2019-06-28.11,'11:52:11.94,'-34:24:46.19,0.04344,18,---,17.61,10.54,Unk,0,2MASX J11521276-3424422,,
ASASSN-19qo,AT 2019ikp,2019-06-23.16,'12:12:13.00,'-59:00:30.64,0.017362,17.2,---,16.79,78.2,Unk,0,HIZOA J1212-59,,
ASASSN-19qr,SN 2019khf,2019-07-03.03,'11:41:27.53,'-38:38:03.08,0.013756,17.3,---,15.17,7.56,Ia,13,TOLOLO 00091,,
ASASSN-19qt,AT 2019khk,2019-07-03.96,'09:47:40.25,'-14:11:13.31,Unk,17.3,---,16.47,1.8,Unk,6,2MASX J09474025-1411112,,
ASASSN-19qu,AT 2019klf,2019-07-03.94,'22:13:18.85,'-68:28:33.28,Unk,17.8,---,17.04,4.71,Unk,11,2MASS J22131812-6828370,,
ASASSN-19qw,SN 2019knt,2019-07-03.80,'10:35:50.28,'-34:16:22.48,0.012826,17.2,---,14.69,15.18,Ia,14,ESO 375-G 070,,
ASASSN-19qx,SN 2019knu,2019-07-05.40,'03:17:52.67,'-07:18:11.88,0.017062,17.7,---,16.18,7.24,II,38,2MASS J03175281-0718048,,
ASASSN-19rf,AT 2019ksa,2019-07-07.72,'12:13:30.48,'-42:39:37.26,0.016215,15.6,---,15.42,14.67,Unk,4,2MASX J12133085-4239232,,
ASASSN-19ro,AT 2019lcx,2019-07-14.18,'04:58:57.60,'-22:06:05.80,Unk,17.3,---,17,3.23,Unk,6,2MASX J04585777-2206038,,
ASASSN-19rv,SN 2019llt,2019-07-20.16,'13:33:55.46,'+29:33:25.74,0.037239,17.5,---,16.69,0.25,Ia,14,2MASX J13335542+2933255,,
ASASSN-19sb,SN 2019lrb,2019-07-21.77,'13:07:03.00,'+13:04:29.64,0.027439,17.1,---,15.54,0.29,Ic,-5,MRK 0784,,
ASASSN-19sf,SN 2019lsm,2019-07-25.28,'14:35:02.60,'+14:46:37.60,0.04168,17.9,---,17.23,7.28,Ibn,3,SDSS J143502.16+144639.5,,
ASASSN-19sj,SN 2019ltw,2019-07-25.88,'16:18:38.50,'+21:58:23.27,0.016077,17.1,---,14.98,0.4,II,13,CGCG 137-076,,
ASASSN-19sv,SN 2019lyb,2019-07-29.210,'15:11:03.33,'+52:03:00.68,0.036876,17.8,---,16.69,5.74,Ia,7,CGCG 274-031,,
ASASSN-19sx,AT 2019lzw,2019-07-30.27,'21:05:29.16,'-52:10:39.57,0.048957,17.6,---,16.97,0.48,Unk,11,2MASX J21052915-5210389,,
ASASSN-19sy,SN 2019meo,2019-07-31.42,'05:34:07.12,'-29:36:39.78,0.036312,17.4,---,17,6.27,Ia-91T,7,2MASX J05340703-2936335,,
ASASSN-19tc,SN 2019mkv,2019-08-02.03,'22:52:30.21,'-46:41:44.23,0.051135,17.7,---,16.72,5.52,Ia,10,2MASX J22523075-4641446,,
ASASSN-19to,SN 2019msz,2019-08-03.30,'20:32:09.39,'-59:11:58.85,0.060502,17.6,---,16.83,6.72,Ia,11,2MASX J20320857-5912013,,
ASASSN-19tr,SN 2019muj,2019-08-07.41,'02:26:18.46,'-09:50:09.92,0.007035,17.4,---,16,45.13,Iax,3,VV 525,,
ASASSN-19tt,SN 2019mxk,2019-08-08.29,'02:12:04.55,'-25:44:40.20,0.056336,18,---,17.03,0.72,Ia,3,2MASX J02120459-2544404,,
ASASSN-19tx,SN 2019nyn,2019-08-20.09,'01:07:37.22,'-41:51:11.74,0.023947,17.1,---,16.7,7.63,II,-6,AM 0105-420 NED02,,
ASASSN-19ub,SN 2019odl,2019-08-22.28,'21:45:25.01,'-62:00:24.12,0.063197,18.1,---,17.45,0.58,Ia,-1,2MASX J21452513-6200240,,
ASASSN-19ui,SN 2019omk,2019-08-23.34,'23:21:30.82,'-61:36:56.63,0.041,17.2,---,16.75,1.21,Ia,7,GALEXASC J232130.77-613657.8,,
ASASSN-19uj,SN 2019omo,2019-08-24.31,'03:12:27.89,'-64:55:38.89,0.0335,17.6,---,16.71,4.64,II,0,APMUKS(BJ) B031141.45-650647.3,,
ASASSN-19uk,SN 2019ope,2019-08-25.14,'23:06:52.50,'-37:51:00.54,0.060442,17.8,---,17.44,3.94,Ia,2,2MASX J23065255-3750566,,
ASASSN-19ul,AT 2019opf,2019-08-24.75,'17:37:12.21,'-84:10:57.00,Unk,18.1,---,16.81,10.64,Unk,-11,2MASX J17371018-8411071,,
ASASSN-19uo,SN 2019oqj,2019-08-24.26,'16:13:13.16,'+17:48:34.67,0.037186,18.2,---,17.22,6.48,Ia,4,2MASX J16131301+1748283,,
ASASSN-19up,SN 2019oqr,2019-08-26.23,'23:51:15.83,'-37:42:40.39,0.050648,17.8,---,17.44,1.05,Ia,9,2MASX J23511587-3742412,,
ASASSN-19vg,AT 2019ovt,2019-08-28.48,'02:37:39.89,'+34:25:54.59,0.016395,17.8,---,17.43,1.27,Unk,-1,UGC 02105,,
ASASSN-19vh,SN 2019ovu,2019-08-28.26,'02:10:05.74,'-32:56:19.64,0.011174,17.2,---,16.09,6.2,Iax,21,IC 1783,,
ASASSN-19vi,AT 2019oyo,2019-08-28.74,'14:38:49.56,'-42:02:42.76,Unk,17.8,---,17.37,22.6,Unk,-4,2MASS J14384754-4202410,,
ASASSN-19vj,SN 2019ozb,2019-08-29.99,'13:44:41.93,'-29:54:13.03,0.042,17.5,---,16.32,5.6,Ia,7,WISEA J134442.13-295419.8,,
ASASSN-19vk,SN 2019ozz,2019-08-30.20,'19:20:01.80,'-60:49:06.49,0.036232,17.6,---,16.58,1.09,Ia,13,FAIRALL 0056,,
ASASSN-19vo,SN 2019phq,2019-09-02.27,'00:35:30.30,'-52:10:56.06,0.042029,17.5,---,16.4,14.76,Ia-91T,11,FAIRALL 0368,,
ASASSN-19vp,SN 2019pig,2019-09-03.14,'15:01:33.46,'+49:06:35.24,0.02602,16.6,---,16.62,7.01,Ia,9,SDSS J150132.77+490633.3,,
ASASSN-19vq,SN 2019pil,2019-09-03.57,'03:37:21.12,'+05:21:17.68,0.032289,18,---,17.85,1.04,Ia,26,MCG +01-10-002,,
ASASSN-19we,AT 2019pky,2019-09-04.22,'19:05:49.46,'-54:32:53.30,Unk,17.2,---,16.59,2.87,Unk,16,GALEXASC J190549.75-543254.4,,
ASASSN-19wf,SN 2019pkz,2019-09-04.25,'19:58:29.58,'+61:13:08.76,0.05,17.2,---,17.18,0.34,Ia,11,VII Zw 923,,
ASASSN-19xa,AT 2019qmj,2019-09-21.39,'03:22:46.21,'-54:13:39.65,Unk,17.2,---,16.81,1.84,Unk,-3,2MASX J03224607-5413381,,
ASASSN-19xb,SN 2019qqh,2019-09-22.37,'02:38:58.04,'-53:20:57.41,0.05,17.9,---,17.4,5.26,Ia,-5,GALEXASC J023858.68-532054.6,,
ASASSN-19xc,AT 2019qqi,2019-09-22.010,'21:09:03.37,'-42:35:51.11,0.062793,17.9,---,17.7,0.11,Unk,0,2MASX J21090333-4235508,,
ASASSN-19xg,SN 2019qti,2019-09-22.35,'06:43:16.51,'-49:29:30.91,0.037513,17.5,---,17.17,12.87,Ia,-1,ESO 206-G 021,,
ASASSN-19xj,AT 2019qwc,2019-09-20.93,'00:00:41.67,'-61:35:43.66,Unk,17.7,---,17.12,0.52,Unk,18,2MASX J00004176-6135434,,
ASASSN-19xl,SN 2019qwd,2019-09-24.38,'07:12:08.74,'-49:23:06.72,0.0319,17.6,---,17.24,0.87,Ia,3,2MASX J07120867-4923063,,
