# Compiled by Dhvanil Desai using 2013-2017 ASAS-SN Bright Supernova Catalogues from Holoien et al. (2017a, 2017b, 2017c, 2019)
# Date: Feb 04, 2022
# -----------------------------------------------------------------------------------------------------------------------------------------------------
# SNName           Name of supernova
# IAUName          IAU name of supernova
# DiscDate         Discovery Date
# RA               Right Ascension (J2000)
# Dec              Declination (J2000)
# Redshift         Redshift of supernova
# DiscMag          Discovery V-band or g-band Magnitude
# PeakMag          Peak Magnitude
# PeakMagV         Peak V-band Magnitude
# PeakMagg         Peak g-band Magnitude
# Offset           Offset from host nucleus
# Type             Type of supernova
# DiscAge          Age of supernova at discovery, relative to peak
# HostName         Host galaxy name
# Recovered        Was the supernova recovered by ASAS-SN?
# l                Galactic longitude [degrees]
# b                Galactic latitude [degrees]
# MagV_corrected   PeakMagV corrected for Galactic extinction and K-corrections
# dist_mod         Distance modulus computed using the Redshift
# abs_M_peak       Absolute peak V-band magnitude (MagV_corrected - dist_mod)
# comp_SNIa        Completeness correction factor for a supernova of given apparent and absolute magnitude
# F2_SNIa          Volumetric correction factor
# weighted_N       The total weight for each supernova (1 / (comp_SNIa * F2_SNIa))
# -----------------------------------------------------------------------------------------------------------------------------------------------------
# Note: This table is limited to supernovae brighter than 16.5 mag in the V-band with the correction factors computed using a maximum redshift of 0.07.
# -----------------------------------------------------------------------------------------------------------------------------------------------------
# SNName,IAUName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,Recovered,l,b,MagV_corrected,dist_mod,abs_M_peak,comp_SNIa,F2_SNIa,weighted_N
ASASSN-16br,2016aex,2016-02-12.56,15:45:30.26,-13:09:08.0,0.02852,16.8,999.0,16.5,999.0,4.4,Ia,-6,2MASX J15453055-1309057,Yes,354.8976203409469,31.64895566398405,16.07406101081588,35.48136163555242,-19.40730062473654,0.5692402616888229,0.1265793298608369,13.878470233700002
ASASSN-16bv,2016aix,2016-02-16.04,01:44:16.85,-41:53:37.0,0.0273,16.5,999.0,15.9,999.0,2.21,Ia-91T,-8,LCRS B014209.4-420839,Yes,270.11946437733405,-71.70364958803236,15.85919916829607,35.38445675501074,-19.525257586714662,0.590767425449403,0.14770316767394473,11.460238346405763
ASASSN-16bx,2016ajk,2016-02-18.65,19:19:26.49,+52:19:41.6,0.0266199999999999,16.9,999.0,16.3,999.0,13.73,Ia,9,CGCG 280-023,Yes,83.5300041573455,17.13527111316017,15.966407078996976,35.32858393198105,-19.362176852984074,0.5735982251140296,0.119264035357608,14.61782308169311
ASASSN-16ci,2016arc,2016-02-26.24,03:19:21.32,+41:29:25.6,0.01273,16.5,999.0,16.4,999.0,1.04,Ia,-6,NGC 1272,Yes,150.51601486415265,-13.32508668995188,15.969687543972151,33.703978198630466,-17.734290654658317,0.5342256040401294,0.013390795083024473,139.78769284905604
ASASSN-16cm,2016arq,2016-03-04.38,15:19:26.89,-00:55:29.7,0.02972,17.0,999.0,16.2,999.0,3.7,Ia,-3,2MASX J15192684-0055256,Yes,0.7649899638912349,44.69228189109371,16.0393272587946,35.57279283714519,-19.533465578350587,0.5789544827525374,0.149287471951178,11.569969532984127
ASASSN-16cs,2016asf,2016-03-06.34,06:50:36.73,+31:06:44.6,0.0113,17.2,999.0,15.8,999.0,16.29,Ia,-12,KUG 0647+311,Yes,184.61684728335507,13.466093704080782,15.442902013931343,33.44286419784953,-17.999962183918186,0.5657770098477417,0.01919683944413139,92.07144757507604
ASASSN-16cu,2016aue,2016-03-06.38,18:35:56.75,-63:22:26.1,0.01113,16.9,999.0,15.8,999.0,10.44,Ia,47,IC 4723,Yes,331.8495600485454,-22.376151428692403,15.544307586675515,33.40966641200078,-17.865358825325266,0.5601661954043654,0.015995743405864665,111.60372092852616
ASASSN-16dn,2016blc,2016-03-30.19,10:48:49.32,-20:15:50.3,0.012,16.3,999.0,14.7,999.0,11.57,Ia,-6,GALEXASC J104848.62-201544.1,Yes,267.6602812319821,34.07710866497979,14.596887570993266,33.574536133524084,-18.977648562530817,0.6079298751736393,0.07137575875550665,23.04601158001595
ASASSN-16dp,2016bli,2016-03-31.47,14:59:42.13,+04:05:08.1,0.0326399999999999,16.8,999.0,16.4,999.0,10.0,Ia,5,SDSS J145942.12+040518.1,Yes,1.627433695440011,51.70024202459096,16.273013335905638,35.78099339437064,-19.507980058465,0.5596971051826104,0.1444196810746154,12.371448674433346
ASASSN-16dw,2016blj,2016-04-03.29,13:30:00.82,-27:58:26.0,0.03466,16.9,999.0,16.3,999.0,6.22,Ia,0,2MASX J13300119-2758297,Yes,313.2274978475172,34.12548874233076,16.162890056713742,35.91462085873605,-19.75173080202231,0.57398617957693,0.1983838971140422,8.781973999786214
ASASSN-16dx,2016blk,2016-04-02.98,03:22:12.85,-44:05:40.7,0.02997,16.3,999.0,16.1,999.0,1.73,Ia,---,APMUKS(BJ) B032028.93-441621.0,Yes,252.28916914306672,-55.39335396006116,16.067213980253243,35.59138517930395,-19.524171199050706,0.5765343414475023,0.14749466870493125,11.759761015073645
ASASSN-16em,2016bmh,2016-04-14.41,13:32:14.20,+84:40:42.3,0.0234,17.0,999.0,15.8,999.0,1.58,Ia,-1,GALEXASC J133213.24+844042.7,Yes,121.81784994892602,32.36131042447297,15.438649824528486,35.04339999385067,-19.604750169322184,0.6169353087208439,0.16376287244197874,9.897942486552076
ASASSN-16eo,2016bro,2016-04-03.09,05:43:12.78,-41:31:15.7,0.037,17.0,999.0,16.3,999.0,0.1,Ia,9,Uncatalogued,Yes,247.3169898915882,-29.84894482438128,16.19160276986411,36.060222766070815,-19.868619996206704,0.5707258549621631,0.23153232228388373,7.567646286568569
ASASSN-16eq,2016bsa,2016-04-22.62,22:04:35.79,+42:19:32.3,0.01431,16.4,999.0,15.7,999.0,7.02,Ia,-4,UGC 11898,Yes,92.89979181396347,-10.612815770479124,14.853491378536171,33.96064076016065,-19.10714938162448,0.6077988089074157,0.08491369259576748,19.37592425812274
ASASSN-16es,2016cbx,2016-04-27.39,11:50:54.57,+02:18:24.8,0.0289999999999999,16.9,999.0,16.5,999.0,3.82,Ia,-1,SDSS J115054.45+021828.1,Yes,270.08402556097843,61.257182080783245,16.431900771513558,35.518378339048226,-19.08647756753467,0.5133395193432293,0.0825949466489481,23.585322735130674
ASASSN-16fa,2016cct,2016-05-12.36,11:25:35.74,+32:19:17.5,0.03433,16.9,999.0,16.5,999.0,18.16,Ia,-2,UGC 6434,Yes,192.16648680913625,70.69152533016292,16.43291553426603,35.89331917564992,-19.46040364138389,0.5427438262063475,0.13572030647532235,13.57563886017693
ASASSN-16fc,2016cda,2016-05-15.35,15:31:51.24,+37:24:47.9,0.0298,17.6,999.0,16.2,999.0,2.87,Ia,-3,SDSS J153151.40+372445.8,Yes,60.1981281945473,54.85760582851331,16.157259108128756,35.578758996999355,-19.4214998888706,0.5639164894169094,0.1289662033574635,13.750208742633097
ASASSN-16fd,2016cdb,2016-05-15.38,22:21:29.33,-22:15:46.0,0.02391,16.3,999.0,16.2,999.0,7.3,Ia,3,2MASX J22212881-2215454,Yes,32.69491398739458,-55.72097360143551,16.11545501024239,35.09104746989337,-18.97559245965098,0.5346303501126652,0.07117889961038157,26.2781701851028
ASASSN-16fg,2016cky,2016-05-16.31,00:05:16.12,-16:29:33.0,0.02489,16.5,999.0,16.2,999.0,2.91,Ia,3,2MASX J00051603-1629348,Yes,75.41833176891676,-74.91985043010087,16.135105075703578,35.17986509026316,-19.044760014559586,0.5368215116973292,0.07810323965132107,23.850695119035013
ASASSN-16fh,2016ckz,2016-05-15.42,00:02:05.60,-26:58:48.3,0.0335,16.3,999.0,16.1,999.0,2.91,Ia,---,2MASXi J0002057-265846,Yes,30.88755785208704,-79.01712590622539,16.062780766535482,35.83884530127487,-19.77606453473939,0.5813628385775784,0.20483636104111336,8.397416235026816
ASASSN-16fj,2016cmn,2016-05-20.54,18:30:02.38,+39:57:54.3,0.01831,16.3,999.0,15.8,999.0,3.96,Ia,-5,IC 1289,Yes,68.17043935920283,20.88436374246116,15.635900790349302,34.502455809109044,-18.86655501875974,0.5618427367302855,0.06147773004646342,28.951255731303245
ASASSN-16fl,2016cnx,2016-05-25.05,10:06:54.45,-15:43:00.7,0.0294399999999999,16.4,999.0,15.7,999.0,14.4,Ia,-2,2MASX J10065350-1543022,Yes,255.00878510672507,31.449615967444764,15.547845347515707,35.55178669422473,-20.003941346709023,0.6085775115959366,0.2774725602238792,5.921940758534898
ASASSN-16fn,2016coa,2016-05-26.21,12:56:58.89,-15:32:10.5,0.0212,16.2,999.0,15.3,999.0,0.8,Ia,-8,Uncatalogued,Yes,304.90159720852137,47.314295468490606,15.139993716740566,34.82541733180697,-19.6854236150664,0.6322427302788431,0.1818886529951696,8.695820148695981
ASASSN-16fo,2016cob,2016-05-26.23,13:32:35.81,-05:16:21.3,0.02961,16.8,999.0,16.1,999.0,0.58,Ia-91T,-5,2MASX J13323577-0516218,Yes,321.53171549996927,56.10562708915609,16.01749043641999,35.56456363480179,-19.547073198381803,0.5810597921918237,0.15194982611929142,11.326062872292349
ASASSN-16fv,2016cqz,2016-06-06.28,18:28:10.44,-71:41:38.8,0.01197,15.6,999.0,14.8,999.0,0.85,Ia,-2,IC 4705,Yes,322.91160206861394,-23.86490236467954,14.52968781467183,33.56905105453842,-19.03936323986659,0.6136393756623635,0.07753999168626524,21.01653089217444
ASASSN-16gm,2016cyh,2016-06-24.31,20:03:49.23,-60:15:20.4,0.036,16.5,999.0,16.3,999.0,9.26,Ia,-6,GALEXASC J200348.67-601528.7,Yes,336.8069754621973,-32.21206032384444,16.197336885768905,35.99913159245395,-19.801794706685044,0.5710946366415987,0.2119069813256099,8.26316935061702
ASASSN-16gq,2016cym,2016-06-27.19,14:11:36.10,-30:23:53.1,0.02314,16.7,999.0,15.7,999.0,13.8,Ia,3,ESO 446-G023,Yes,322.7583614773448,29.368824297074816,15.507092602169054,35.01871467393932,-19.51162207177027,0.6101080772880707,0.14510613168082173,11.295552038329346
ASASSN-16gz,2016cyz,2016-07-06.42,04:34:27.55,-21:12:55.1,0.032,16.6,999.0,16.5,999.0,6.8,Ia,7,APMUKS(BJ) B043218.28-211910.3,Yes,219.06890381366765,-39.18954335292496,16.408214274785262,35.73696546133398,-19.32875118654872,0.5354702126063935,0.11410261767759473,16.36699973682279
ASASSN-16ha,2016cza,2016-07-07.37,01:03:30.28,-47:01:27.5,0.02253,16.3,999.0,16.2,999.0,13.74,Ia,5,FAIRALL 673,Yes,296.9217334402777,-69.9628807017112,16.16650395038828,34.95971125921841,-18.79320730883013,0.5256186155901025,0.05571302685579744,34.14856889561401
ASASSN-16hc,2016czc,2016-07-07.31,13:59:04.45,+33:08:20.3,0.05097,17.4,999.0,16.5,999.0,6.95,Ia-91T,-5,2MASX J13590394+3308172,Yes,59.39312600628586,74.21395382233978,16.484627189461364,36.77782966209962,-20.293202472638256,0.5330939457222047,0.40948988727567975,4.580923811018249
ASASSN-16hd,2016czq,2016-07-08.59,01:50:51.84,+22:33:58.8,0.0289999999999999,16.8,999.0,16.5,999.0,9.96,Ia,6,GALEXASC J015051.89+223348.8,Yes,140.48464467120118,-38.271475850475305,16.261600771513557,35.518378339048226,-19.25677756753467,0.5426666646785904,0.10369817474780864,17.77034025897127
ASASSN-16hh,2016daj,2016-07-17.54,02:04:37.41,+21:35:09.8,0.032,16.9,999.0,16.5,999.0,24.2,Ia,-2,MCG +03-06-031,Yes,144.7277867626065,-38.16851333127836,16.16551427478526,35.73696546133398,-19.57145118654872,0.570981574006027,0.15683538383468665,11.166931584328635
ASASSN-16hp,2016eiy,2016-07-26.08,13:34:38.72,-23:40:53.3,0.00866,16.2,999.0,14.2,999.0,9.36,Ia,---,ESO 509-IG064,Yes,315.534829098242,38.13060545608752,13.863756540020686,32.86068365248104,-18.996927112460355,0.6290636423902966,0.07324781905213557,21.702547559040866
ASASSN-16hw,2016ekt,2016-07-29.34,21:53:27.96,-34:24:21.6,0.012,14.9,999.0,14.6,999.0,0.11,Ia,-5,GALEXASC J215327.92-342420.8,Yes,10.854360461758356,-51.39351830682829,14.531187570993266,33.574536133524084,-19.043348562530817,0.6138605161103255,0.07795554299421421,20.89696902018717
ASASSN-16hz,2016eqb,2016-08-01.35,23:15:45.48,-01:20:22.7,0.02531,16.8,999.0,16.0,999.0,9.31,Ia,-6,2MASX J23154564-0120135,Yes,77.25621273848162,-55.48596413842265,15.903549965077405,35.216882499335924,-19.31333253425852,0.5739903698184815,0.11179345557740754,15.584002650403018
ASASSN-16ic,2016eqw,2016-08-06.22,01:14:15.48,-16:24:56.4,0.047,16.8,999.0,16.2,999.0,1.64,Ia,---,GALEXASC J011415.49-162456.4,Yes,150.36276798635032,-78.05409117750234,16.153628473460024,36.59552713411429,-20.441898660654267,0.5578544920536844,0.4989871744995952,3.592441315306305
ASASSN-16if,2016esn,2016-08-07.40,05:58:58.73,-52:26:18.5,0.03202,16.7,999.0,16.2,999.0,57.97,Ia,---,AM 0557-522 NED03,Yes,260.1883726814906,-28.983877061723025,16.038727258224345,35.73835431823804,-19.699627060013693,0.5829891133104483,0.18529379238125335,9.257179503402401
ASASSN-16ip,2016euj,2016-08-09.21,02:27:21.79,-23:55:43.4,0.012,16.3,999.0,15.1,999.0,0.6,Ia,-5,ESO 479-G007,Yes,209.87575725354,-68.15884230814214,15.046687570993267,33.574536133524084,-18.527848562530817,0.5863295321749876,0.039083004828438586,43.6385472704523
ASASSN-16iq,2016evh,2016-08-09.32,23:55:07.75,-31:34:38.7,0.0286,16.6,999.0,14.9,999.0,1.94,Ia,-5,ESO 471-G041,Yes,9.631953259515385,-76.9609917777149,14.854704722413135,35.48757328633507,-20.63286856392193,0.6219869837086629,0.639521564670918,2.5139897936737143
ASASSN-16jc,2016fej,2016-08-22.17,20:40:39.88,-54:18:39.0,0.01091,17.0,999.0,14.0,999.0,33.18,Ia,-4,NGC 6942,Yes,343.71957385637853,-37.48369602518496,13.87221394165049,33.365950086716005,-19.493736145065515,0.6706587706446184,0.14176339071087474,10.518027435874652
ASASSN-16je,2016fez,2016-08-21.33,17:05:49.02,+69:50:54.6,0.0394,16.9,999.0,16.5,999.0,6.8,Ia,---,2MASX J17055033+6950555,Yes,100.98210580297123,34.362219058036295,16.42503615915067,36.20051393449174,-19.775477775341063,0.5518203295764742,0.2046781279523882,8.853823652917583
ASASSN-16jf,2016fff,2016-08-23.25,22:36:59.14,-25:13:55.6,0.01144,15.5,999.0,14.9,999.0,54.5,Ia,-2,UGCA 430,Yes,28.833602335587145,-59.86447533716632,14.835897443401432,33.4698337828272,-18.63393633942577,0.5937641688930846,0.04502385925077343,37.406174510869874
ASASSN-16jq,2016fob,2016-08-30.41,08:05:09.12,-22:35:59.2,0.024,16.1,999.0,16.1,999.0,7.01,Ia,-1,CGMW 2-2125,Yes,241.4084209265193,4.847818354213733,15.52119255399131,35.09935200699404,-19.578159453002726,0.6120193646568745,0.15820681652620847,10.327843411950607
ASASSN-16ke,2016gcl,2016-09-08.36,23:37:56.62,+27:16:37.7,0.0279999999999999,17.0,999.0,16.2,999.0,3.09,Ia-91T,-7,AGC 331536,Yes,103.46260666854772,-32.80090026715704,16.00576626867722,35.44056472662131,-19.43479845794409,0.5760043549391703,0.13123934765170017,13.228486853462437
ASASSN-16km,2016ggb,2016-09-12.34,01:53:12.58,-49:33:37.2,0.02059,16.3,999.0,15.9,999.0,0.22,Ia,0,ESO 197-G010,Yes,279.16731832624583,-64.62069740311547,15.844250468038512,34.76102433292636,-18.91677386488785,0.5511378240100301,0.0657696398417452,27.58762532796644
ASASSN-16kz,2016gsb,2016-09-29.28,06:04:28.24,-20:20:24.5,0.00965,15.9,999.0,14.4,999.0,50.18,Ia,-1,ESO 555-G029,Yes,226.54679391515737,-19.166688882056288,14.218080623607884,33.0973744268894,-18.87929380328152,0.6151542757541759,0.06253898727473695,25.993520828792818
ASASSN-16la,2016gsn,2016-09-29.46,02:29:17.43,+18:05:16.4,0.0164,16.3,999.0,15.2,999.0,3.23,Ia,-7,2MASXi J0229172+180515,Yes,153.3353228352289,-38.93854493316813,14.636188705656886,34.26010025805217,-19.623911552395285,0.6516017259596997,0.16788983415187175,9.140992948232606
ASASSN-16lc,2016gtr,2016-09-30.01,19:29:00.51,-51:58:15.7,0.0161,16.0,999.0,15.6,999.0,9.11,Ia,-3,GALEXASC J192901.47-515813.5,Yes,345.7827418361801,-26.65761874663524,15.46389878013405,34.21951749321964,-18.75561871308559,0.5689848660706588,0.05297578961957805,33.17583375900244
ASASSN-16lg,2016gye,2016-10-06.20,17:48:12.24,+17:37:31.2,0.0211699999999999,16.2,999.0,15.9,999.0,0.44,Ia,-6,ARK 530,Yes,42.28823111929663,21.6625470844257,15.690788117220189,34.82229338263712,-19.131505265416934,0.5722340492863396,0.08772764733219571,19.920022358313876
ASASSN-16lx,2016hht,2016-10-19.62,10:24:05.31,+16:44:27.8,0.0186,15.5,999.0,15.4,999.0,47.12,Ia,-4,IC 607,Yes,222.1442842498516,54.43426144039669,15.286886813580224,34.53705374222953,-19.250166928649307,0.6019879014484844,0.10278936936898152,16.160843899817834
ASASSN-16lz,2016hko,2016-10-25.25,06:05:51.16,-50:46:50.3,0.04,16.8,999.0,16.5,999.0,2.3,Ia,-6,Uncatalogued,Yes,258.5132611998501,-27.67510166327565,16.392095363993718,36.23428537105012,-19.8421900070564,0.5543034879242874,0.2235455122781734,8.070239675413204
ASASSN-16mc,2016hmo,2016-10-21.16,19:58:41.31,-52:21:23.6,0.01891,16.8,999.0,16.0,999.0,0.3,Ia,7,ESO 233-IG014,Yes,346.05914968505607,-31.216957112088263,15.887498025863165,34.57345412936088,-18.68595610349772,0.5450004848080584,0.048261935753442946,38.01879730815983
ASASSN-16mj,2016hpe,2016-10-28.62,09:21:19.03,+17:01:58.4,0.0279999999999999,16.4,999.0,16.4,999.0,1.39,Ia-91T,-4,SDSS J092119.07+170159.5,Yes,213.27405757225816,40.63493379036131,16.323966268677218,35.44056472662131,-19.116598457944093,0.5258970738247314,0.08599473502753559,22.111967277768294
ASASSN-16mt,2016hsx,2016-11-03.42,01:00:41.50,-00:26:40.7,0.0436,17.3,999.0,15.9,999.0,0.3,Ia,---,2MASX J01004149-0026406,Yes,128.07249488838238,-63.22398652434502,15.818680174840342,36.42711598951283,-20.60843581467249,0.5783399977921885,0.619808914182362,2.7897093175704235
ASASSN-16mv,2016huh,2016-11-04.27,08:57:05.21,-20:02:05.8,0.01856,16.8,999.0,16.4,999.0,19.0,Ia,-4,ESO 563-G035,Yes,246.3066195508092,16.2343553394538,15.935592173870084,34.532313384503134,-18.59672121063305,0.5417997380204694,0.04284359946684571,43.07995676245808
ASASSN-16nm,2016ijc,2016-11-23.09,21:25:52.16,-37:24:14.3,0.03069,16.7,999.0,16.3,999.0,19.78,Ia,6,2MASX J21255058-3724071,Yes,6.056852838429778,-45.89998312342135,16.091323792361926,35.64409472602997,-19.552770933668043,0.5759389927663465,0.15307816868926366,11.342538431495933
ASASSN-16no,2016ins,2016-11-26.59,08:07:27.35,+25:07:47.5,0.02071,16.8,999.0,16.4,999.0,15.34,Ia,-4,IC 493,Yes,197.05163953640653,27.131154722600872,16.295859367101535,34.77383898644817,-18.477979619346637,0.5133472831087491,0.036562132800413004,53.27914052586655
ASASSN-16np,2016inu,2016-11-14.65,12:36:43.21,+26:06:48.7,0.02084,15.9,999.0,15.8,999.0,3.26,Ia,0,SDSS J123643.42+260647.1,Yes,229.2457592148409,86.55784063278139,15.75586386964115,34.78763924270133,-19.03177537306018,0.5616967220938162,0.07675480749904905,23.194901027098158
ASASSN-16ok,2016irt,2016-12-05.04,00:53:29.43,-36:21:54.6,0.037,17.3,999.0,15.7,999.0,6.66,Ia,-6,GALEXASC J005328.92-362154.1,Yes,300.3596583951246,-80.75283193922958,15.66830276986411,36.060222766070815,-20.391919996206703,0.5895451431287202,0.46707723530555034,3.631568440230572
ASASSN-16ol,2016iru,2016-12-04.07,01:10:02.38,-70:20:56.5,0.03,17.0,999.0,15.6,999.0,10.87,Ia,-11,GALEXASC J011003.70-702046.4,Yes,300.65362825830414,-46.69685039835243,15.53643199255705,35.59360604664016,-20.057174054083116,0.6075140984837104,0.29807326625142894,5.522307837657452
ASASSN-16oo,2016isq,2016-12-06.09,01:41:18.71,-00:12:36.9,0.05546,16.9,999.0,16.5,999.0,2.4,Ia,6,2MASX J01411858-0012382,Yes,148.9677816356766,-60.53601338570206,16.44867941810186,36.96814611737999,-20.519466699278126,0.532231338566447,0.552401305758809,3.401299385732662
ASASSN-16oq,2016ito,2016-12-08.36,12:31:09.15,-35:55:50.5,0.01992,15.4,999.0,15.2,999.0,8.93,Ia,6,AM 1228-353 NED02,Yes,298.33403885733327,26.759886532855592,15.036145576648662,34.6880949051106,-19.65194932846194,0.6363153787691537,0.17412430911900226,9.025435650716227
ASASSN-16oz,2016iyv,2016-12-20.11,09:00:13.38,-13:38:02.2,0.031,16.8,999.0,16.2,999.0,2.95,Ia-91T,-4,GALEXASC J090013.19-133803.5,Yes,241.398584282851,20.69288127537734,16.058213895618714,35.666417314094595,-19.60820341847588,0.5801091257724025,0.164498842848917,10.479183739532816
ASASSN-16pa,2016izf,2016-12-21.15,00:33:14.11,-84:29:20.1,0.034,17.0,999.0,16.4,999.0,9.7,Ia,-6,Uncatalogued,Yes,303.4502799907374,-32.621004060256325,15.971584254851516,35.87181658144771,-19.9002323265962,0.5860787257046248,0.2414894478385926,7.065548542103637
ASASSN-16pb,2016izq,2016-12-22.59,07:53:12.80,+12:53:56.0,0.02978,16.4,999.0,16.3,999.0,7.53,Ia,-5,CGCG 058-057,Yes,208.04633025888143,19.43928347802852,16.224449988089336,35.57726892888157,-19.35281894079224,0.5535475612157638,0.11779732292671737,15.335913049141666
ASASSN-16pd,2016jab,2016-12-23.22,07:05:26.26,-76:00:35.7,0.0215,16.4,999.0,15.8,999.0,2.71,Ia,-4,PGC 241921,Yes,287.4354482595569,-25.42462725217804,15.336422772661592,34.85641955458833,-19.519996781926736,0.6188226009994244,0.1466960869883226,11.015781261418555
ASASSN-16pk,2016jdl,2016-12-29.55,12:27:39.91,+40:36:53.4,0.02328,16.8,999.0,16.4,999.0,2.09,Ia,-1,SDSS J122739.96+403651.3,Yes,141.41947125147266,75.64849311075633,16.360017776086654,35.032040465498746,-18.67202268941209,0.5075833526370626,0.04737196407710667,41.58830676359094
ASASSN-16pl,2016jdv,2016-12-29.61,14:14:31.63,+03:11:20.3,0.02693,16.6,999.0,16.4,999.0,7.88,Ia,-1,IC 988,Yes,346.2010629611636,58.89409225926505,16.316418244978028,35.35422697825884,-19.037808733280816,0.5211713399181067,0.07737849315841512,24.79700369340316
ASASSN-17ac,2017ad,2017-01-04.36,14:34:26.01,-38:28:09.70,0.0333199999999999,16.6,999.0,16.3,999.0,6.09,Ia,-6,2MASX J14342552-3828081,Yes,324.1692877985873,20.11795211499772,16.034661778636266,35.82685782399187,-19.79219604535561,0.5832693799223417,0.2092388646068558,8.193858644915549
ASASSN-17ad,2017ah,2017-01-04.55,11:10:01.95,+63:38:34.16,0.03286,17.3,999.0,15.9,999.0,3.82,Ia,-11,CGCG 314-011,Yes,140.12047212803014,49.96528046732894,15.873378506351427,35.79593327483127,-19.92255476847984,0.5919937204394109,0.2487953464678624,6.7895446245622955
ASASSN-17af,2017bc,2017-01-05.51,12:19:50.90,-06:51:20.45,0.0268699999999999,17.0,999.0,16.4,999.0,4.47,Ia,-4,MCG -01-32-001,Yes,289.11459550100443,55.1663414213178,16.299399062986062,35.349286489839834,-19.04988742685377,0.5234550024327052,0.07864209727632714,24.292127866988746
ASASSN-17aj,2017hm,2017-01-09.62,11:33:10.50,-10:13:18.37,0.02128,16.9,999.0,15.8,999.0,25.5,Ia,-13,MCG -02-30-003,Yes,273.35812296631207,48.105017006876025,15.687212574594652,34.83372662708203,-19.146514052487376,0.573584668346147,0.08950691406247178,19.478068171757965
ASASSN-17am,2017hq,2017-01-10.66,13:49:23.81,+08:30:27.62,0.03798,17.6,999.0,16.5,999.0,2.21,Ia,18,CGCG 073-079,Yes,341.989185770351,66.87598769739331,16.433150326526576,36.118549852742255,-19.68539952621568,0.5507282259082308,0.18188293506540149,9.983221583683545
ASASSN-17at,2017ln,2017-01-19.54,11:38:33.66,+25:23:50.17,0.02536,16.7,999.0,16.4,999.0,3.08,Ia,-9,2MASX J11383367+2523532,Yes,214.86978739781435,73.58460928674712,16.326059089461115,35.22124908293249,-18.895189993471373,0.5138935568617625,0.06388924024881544,30.457840197958088
ASASSN-17bh,2017po,2017-01-26.61,16:03:51.70,+39:59:24.17,0.03186,16.6,999.0,15.8,999.0,14.52,Ia,-3,CGCG 223-033,Yes,63.63526219192445,48.4487130764007,15.766533325797925,35.72721962671106,-19.96068630091314,0.5975783922628446,0.2618227202777926,6.391426275259228
ASASSN-17bo,2017wb,2017-01-28.59,11:01:19.53,+70:39:54.76,0.03,16.9,999.0,16.3,999.0,1.91,Ia,-9,2MASX J11011991+7039548,Yes,135.16286320932034,43.75448577240454,16.235831992557053,35.59360604664016,-19.35777405408311,0.5529967866770876,0.11857184039256381,15.250912575047419
ASASSN-17bq,2017xx,2017-01-27.51,07:25:38.21,+59:00:09.63,0.04,17.6,999.0,16.4,999.0,1.51,Ia,19,GALEXASC J072538.14+590010.5,Yes,157.90757646627046,27.322990602472,16.276395363993718,36.23428537105012,-19.9578900070564,0.5620936128618895,0.2608433608653489,6.820426958584926
ASASSN-17bs,2017yh,2017-01-30.66,17:52:06.13,+21:33:57.82,0.0204,16.5,999.0,15.9,999.0,13.02,Ia,-8,IC 1269,Yes,46.59679033161966,22.30333125188838,15.663825587155582,34.74058320387175,-19.07675761671617,0.5697951821339697,0.08152625691329113,21.52701056999719
ASASSN-17bu,2017yv,2017-01-31.19,10:23:40.43,-35:49:31.62,0.01558,16.6,999.0,15.2,999.0,2.83,Ia,-10,ESO 375-G018,Yes,272.1007395673133,18.050267981414407,14.975958312805956,34.147370496371856,-19.1714121835659,0.6084133858776972,0.0925365330440297,17.761842519976852
ASASSN-17cm,2017aut,2017-02-14.03,05:47:43.06,-79:12:52.88,0.01723,16.3,999.0,16.0,999.0,0.72,Ia,5,2MASX J05474279-7912525,Yes,290.9905635600952,-29.580044349566364,15.665851228315702,34.368669976342986,-18.702818748027283,0.5582390253502499,0.049361968476201494,36.29003071752871
ASASSN-17co,2017awk,2017-02-16.64,18:09:20.71,+18:17:53.47,0.01806,16.3,999.0,15.7,999.0,3.32,Ia,-5,UGC 11128,Yes,45.045882096486174,17.306577753039445,15.414180002526006,34.47219322965695,-19.058013227130942,0.581297893176892,0.07950355525583594,21.637879659921005
ASASSN-17cq,2017axl,2017-02-18.22,06:15:55.49,-55:56:51.65,0.034,16.9,999.0,16.2,999.0,0.84,Ia,-5,Uncatalogued,Yes,264.53019061020035,-27.046127404383057,16.072184254851514,35.87181658144771,-19.7996323265962,0.5805335951358009,0.21130271348744636,8.152063776702436
ASASSN-17cr,2017ayk,2017-02-20.64,16:23:49.85,+15:04:48.32,0.03442,17.0,999.0,16.4,999.0,1.0,Ia,-1,SDSS J162349.91+150448.3,Yes,30.49818219358133,39.39172963059675,16.26988895321425,35.89914848865598,-19.629259535441733,0.5642179924339625,0.16906076904470768,10.483594841464326
ASASSN-17cs,2017azw,2017-02-21.02,04:22:50.19,-82:04:11.10,0.02,16.4,999.0,16.4,999.0,6.01,Ia,---,ESO 015-G010,Yes,295.50400692795256,-31.72054655275631,16.199062677980812,34.696928940024044,-18.49786626204323,0.521962327460857,0.03754828959406095,51.02355124346371
